,id,name,acronym,description,url,location,country,latitude,longitude,head,contact,national_node,withdrawn,parent_collection,sub_collections,biobank,biobank_label,network,also_known,studies,type,data_categories,order_of_magnitude,size,categories,timestamp,quality,combined_quality,number_of_donors,order_of_magnitude_donors,sex,diagnosis_available,age_low,age_high,age_unit,facts,materials,storage_temperatures,body_part_examined,imaging_modality,image_dataset_type,collaboration_commercial,collaboration_non_for_profit,data_use,duc_profile,commercial_use,access_fee,access_joint_project,access_description,access_uri,sop,catalog,license,publisher,language,keywords,EJP_RD_personalData,EJP_RD_vpConnection,issued,modified,mg_draft
1077,bbmri-eric:ID:ES_BioNER-IIER:collection:Charcot_Marie_Tooth,Charcot Marie Tooth,,Disease sample,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,2,137.0,"nervous_system,rare_disease",,,,6.0,0.0,"MALE,FEMALE",urn:miriam:icd:G60.0,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Hereditary motor and sensory neuropathy,,,2026-07-23 05:02:06.556069,2026-07-23 05:02:06.556069,
1085,bbmri-eric:ID:ES_BioNER-IIER:collection:Polineuropatia_axonal_sensitivo_motora,Polineuropatía axonal sensitivo motora,,Disease sample,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,1,21.0,"nervous_system,rare_disease",,,,1.0,0.0,FEMALE,urn:miriam:icd:G60.0,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Hereditary motor and sensory neuropathy,,,2026-07-23 05:02:06.556069,2026-07-23 05:02:06.556069,
1086,bbmri-eric:ID:ES_BioNER-IIER:collection:Sindrome_de_Guillain-Barre,Síndrome de Guillain-Barré,,Disease sample,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,1,13.0,"nervous_system,rare_disease",,,,1.0,0.0,FEMALE,urn:miriam:icd:G61.0,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Inflammatory polyneuropathy - Guillain-Barré syndrome,,,2026-07-23 05:02:06.556069,2026-07-23 05:02:06.556069,
1096,bbmri-eric:ID:ES_BioNER-IIER:collection:Discapacidad_intelectual_ligada_al_X_tipo_Christianson_SLC9A6,"Discapacidad intelectual ligada al X tipo Christianson, SLC9A6",,Disease sample;Disease control,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,1,37.0,"nervous_system,rare_disease",,,,2.0,0.0,"MALE,FEMALE",urn:miriam:icd:G11.8,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,OTHER,BUFFY_COAT,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Other hereditary ataxias,,,2026-07-23 05:02:06.175575,2026-07-23 05:02:06.175575,
1097,bbmri-eric:ID:ES_BioNER-IIER:collection:Sindrome_Aceite_Toxico,Síndrome Aceite Tóxico,,Disease sample,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,4,60023.0,rare_disease,,,,3025.0,3.0,"MALE,FEMALE,NAV",urn:miriam:icd:X49,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,,,2026-07-23 05:02:06.831702,2026-07-23 05:02:06.831702,
1103,bbmri-eric:ID:ES_BioNER-IIER:collection:Ataxia_espinocerebelosa_autosomica_dominante_tipo_3,"Ataxia espinocerebelosa, autosómica dominante, tipo 3",,Disease sample,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,2,182.0,"nervous_system,rare_disease",,,,11.0,1.0,"MALE,FEMALE",urn:miriam:icd:G11.8,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,OTHER,PLASMA,SALIVA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Other hereditary ataxias,,,2026-07-23 05:02:06.175575,2026-07-23 05:02:06.175575,
1104,bbmri-eric:ID:ES_BioNER-IIER:collection:Sindrome_de_discapacidad_intelectual_grave-diplejia_espastica_progresiva_-CTNNB1,Síndrome de discapacidad intelectual grave-diplejía espástica progresiva -CTNNB1,,Disease sample;Disease control,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,1,58.0,"nervous_system,rare_disease",,,,4.0,0.0,"MALE,FEMALE",urn:miriam:icd:G80.1,,,YEAR,,"DNA,OTHER,PLASMA,SERUM",temperature-60to-85,,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Spastic diplegic cerebral palsy,,,2026-07-23 05:02:06.556069,2026-07-23 05:02:06.556069,
1107,bbmri-eric:ID:ES_BioNER-IIER:collection:Sindrome_POEMS,Síndrome POEMS,,Disease sample,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,1,21.0,"nervous_system,rare_disease",,,,1.0,0.0,FEMALE,urn:miriam:icd:G62.9,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,"Other polyneuropathies - Polyneuropathy,unspecified",,,2026-07-23 05:02:06.556069,2026-07-23 05:02:06.556069,
1109,bbmri-eric:ID:ES_BioNER-IIER:collection:Atrofia_olivopontocerebelosa,Atrofia olivopontocerebelosa,,Disease sample;Disease control,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,2,165.0,"nervous_system,rare_disease",,,,8.0,0.0,"MALE,FEMALE",urn:miriam:icd:G23.8,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Other specified degenerative diseases of basal ganglia,,,2026-07-23 05:02:06.175575,2026-07-23 05:02:06.175575,
1110,bbmri-eric:ID:ES_BioNER-IIER:collection:Miastenia_gravis,Miastenia gravis,,Disease sample,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,2,685.0,"nervous_system,rare_disease",,,,36.0,1.0,"MALE,FEMALE,NAV",urn:miriam:icd:G70.0,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Myasthenia gravis,,,2026-07-23 05:02:06.556069,2026-07-23 05:02:06.556069,
1115,bbmri-eric:ID:ES_BioNER-IIER:collection:Distrofia_muscular_de_Duchenne,Distrofia muscular de Duchenne,,Disease sample;Disease control,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,1,26.0,"nervous_system,rare_disease",,,,2.0,0.0,"MALE,FEMALE",urn:miriam:icd:G71.0,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Primary disorders of muscles - Muscular dystrophy,,,2026-07-23 05:02:06.556069,2026-07-23 05:02:06.556069,
1118,bbmri-eric:ID:ES_BioNER-IIER:collection:Siringomielia_y_siringobulbia,Siringomielia y siringobulbia,,Disease sample,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,2,366.0,"nervous_system,rare_disease",,,,22.0,1.0,"MALE,FEMALE",urn:miriam:icd:G95.0,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,PLASMA,SALIVA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Other diseases of spinal cord - Syringomyelia and syringobulbia,,,2026-07-23 05:02:06.556069,2026-07-23 05:02:06.556069,
1125,bbmri-eric:ID:ES_BioNER-IIER:collection:ATAXIA_ESPINOCEREBELOSA_TIPO_6,ATAXIA ESPINOCEREBELOSA TIPO 6,,Disease sample,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,2,267.0,"nervous_system,rare_disease",,,,9.0,0.0,"MALE,FEMALE",urn:miriam:icd:G11.8,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Other hereditary ataxias,,,2026-07-23 05:02:06.175575,2026-07-23 05:02:06.175575,
1126,bbmri-eric:ID:ES_BioNER-IIER:collection:Distrofia_muscular_facioescapulohumeral,Distrofia muscular facioescapulohumeral,,Disease sample,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,1,77.0,"nervous_system,rare_disease",,,,4.0,0.0,MALE,urn:miriam:icd:G71.0,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Primary disorders of muscles - Muscular dystrophy,,,2026-07-23 05:02:06.556069,2026-07-23 05:02:06.556069,
1130,bbmri-eric:ID:ES_BioNER-IIER:collection:Atrofia_muscular_espinal_juvenil_tipo_3_Enfermedad_de_Kugelberg-Welander,Atrofia muscular espinal juvenil tipo 3 (Enfermedad de Kugelberg-Welander),,Disease sample,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,1,21.0,"nervous_system,rare_disease",,,,1.0,0.0,MALE,urn:miriam:icd:G12.1,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,OTHER,BUFFY_COAT,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Other inherited spinal muscular atrophy,,,2026-07-23 05:02:06.175575,2026-07-23 05:02:06.175575,
1131,bbmri-eric:ID:ES_BioNER-IIER:collection:DISTROFIA_MUSCULAR_DE_BECKER,DISTROFIA MUSCULAR DE BECKER,,Disease sample,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,1,42.0,"nervous_system,rare_disease",,,,2.0,0.0,MALE,urn:miriam:icd:G71.0,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Primary disorders of muscles - Muscular dystrophy,,,2026-07-23 05:02:06.556069,2026-07-23 05:02:06.556069,
1133,bbmri-eric:ID:ES_BioNER-IIER:collection:Enfermedad_de_Parkinson_de_inicio_precoz,Enfermedad de Parkinson de inicio precoz,,Disease sample;Disease control,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,1,48.0,"nervous_system,rare_disease",,,,3.0,0.0,"MALE,FEMALE",urn:miriam:icd:G20,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,OTHER,BUFFY_COAT,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Parkinson disease,,,2026-07-23 05:02:06.175575,2026-07-23 05:02:06.175575,
1134,bbmri-eric:ID:ES_BioNER-IIER:collection:Sindrome_de_Noonan,Síndrome de Noonan,,Disease sample;Disease control,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,1,44.0,rare_disease,,,,3.0,0.0,"MALE,FEMALE",urn:miriam:icd:Q87.1,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,OTHER,BUFFY_COAT,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Congenital malformation syndromes predominantly associated with short stature,,,2026-07-23 05:02:06.831702,2026-07-23 05:02:06.831702,
1135,bbmri-eric:ID:ES_BioNER-IIER:collection:Distonia_de_torsion_primaria,Distonía de torsión primaria,,Disease sample,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,1,21.0,"nervous_system,rare_disease",,,,1.0,0.0,MALE,urn:miriam:icd:G24.1,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Idiopathic familial dystonia,,,2026-07-23 05:02:06.175575,2026-07-23 05:02:06.175575,
1136,bbmri-eric:ID:ES_BioNER-IIER:collection:Enfermedad_de_Alexander,Enfermedad de Alexander,,Disease sample;Disease control,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,1,63.0,"nervous_system,rare_disease",,,,3.0,0.0,"MALE,FEMALE",urn:miriam:icd:G37.8,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Other specified demyelinating diseases of central nervous system,,,2026-07-23 05:02:06.175575,2026-07-23 05:02:06.175575,
1141,bbmri-eric:ID:ES_BioNER-IIER:collection:DISTROFIA_MIOToNICA_DE_STEINERT,DISTROFIA MIOTÓNICA DE STEINERT,,Disease sample,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,2,308.0,"nervous_system,rare_disease",,,,15.0,1.0,"MALE,FEMALE",urn:miriam:icd:G71.1,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Myotonic disorders,,,2026-07-23 05:02:06.556069,2026-07-23 05:02:06.556069,
1144,bbmri-eric:ID:ES_BioNER-IIER:collection:Atrofia_multisistemica,Atrofia multisistémica,,Disease sample,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,1,40.0,"nervous_system,rare_disease",,,,2.0,0.0,"MALE,FEMALE",urn:miriam:icd:G90.3,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Multi-system degeneration,,,2026-07-23 05:02:06.556069,2026-07-23 05:02:06.556069,
1151,bbmri-eric:ID:ES_BioNER-IIER:collection:H355-pendiente-Distrofia_macular,H355-pendiente-Distrofia macular,,Disease sample;Disease control,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,0,6.0,rare_disease,,,,6.0,0.0,"MALE,FEMALE",urn:miriam:icd:H35.5,,,YEAR,,DNA,temperature-60to-85,,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Hereditary retinal dystrophy,,,2026-07-23 05:02:06.556069,2026-07-23 05:02:06.556069,
1161,bbmri-eric:ID:ES_BioNER-IIER:collection:Cardiomiopatia_hipertrofica_obstructiva,Cardiomiopatía hipertrófica obstructiva,,Disease sample,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,0,8.0,"cardiovascular,rare_disease",,,,3.0,0.0,MALE,urn:miriam:icd:I42.1,,,YEAR,,DNA,temperature-60to-85,,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Obstructive hypertrophic cardiomyopathy,,,2026-07-23 05:02:06.556069,2026-07-23 05:02:06.556069,
1166,bbmri-eric:ID:ES_BioNER-IIER:collection:Linfangioleiomiomatosis,Linfangioleiomiomatosis,,Disease sample,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,2,151.0,"cardiovascular,rare_disease",,,,9.0,0.0,FEMALE,urn:miriam:icd:I89.8,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,OTHER,BUFFY_COAT,PLASMA,SALIVA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Other specified noninfective disorders of lymphatic vessels and lymph nodes,,,2026-07-23 05:02:06.556069,2026-07-23 05:02:06.556069,
