name,acronym,codesystem,code,ontologyTermURI,definition,aliases,country,city,latitude,longitude
Ospedale di Parma,,ROR,ROR:03jg24239,https://ror.org/03jg24239,,,Italy,Parma,44.79935,10.32618
Azienda Ospedaliera Universitaria Senese,,ROR,ROR:02s7et124,https://ror.org/02s7et124,,,Italy,Siena,43.31822,11.33064
Cambridge University Hospitals NHS Foundation Trust,CUH,ROR,ROR:04v54gj93,https://ror.org/04v54gj93,,,United Kingdom of Great Britain and Northern Ireland (the),Cambridge,52.2,0.11667
University Hospital Bonn,,ROR,ROR:01xnwqx93,https://ror.org/01xnwqx93,,,Germany,Bonn,50.73438,7.09549
Centre Hospitalier de Luxembourg,CHL,ROR,ROR:03xq7w797,https://ror.org/03xq7w797,,,Luxembourg,Luxembourg,49.61167,6.13
Hospital de São João,CHSJ,ROR,ROR:04qsnc772,https://ror.org/04qsnc772,,Centro Hospitalar de São João,Portugal,Porto,41.14961,-8.61099
Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,,ROR,ROR:016zn0y21,https://ror.org/016zn0y21,,Ca' Granda,Italy,Milan,45.46427,9.18951
Fondazione IRCCS Istituto Nazionale dei Tumori,INT,ROR,ROR:05dwj7825,https://ror.org/05dwj7825,,,Italy,Milan,45.46427,9.18951
Manchester University NHS Foundation Trust,MFT,ROR,ROR:00he80998,https://ror.org/00he80998,,,United Kingdom of Great Britain and Northern Ireland (the),Manchester,53.48095,-2.23743
Oulu University Hospital,OUH; OYKS; OYS,ROR,ROR:045ney286,https://ror.org/045ney286,,Oulu University Central Hospital; Oulun yliopistollinen keskussairaala,Finland,Oulu,65.01236,25.46816
Guy's and St Thomas' NHS Foundation Trust,,ROR,ROR:00j161312,https://ror.org/00j161312,,,United Kingdom of Great Britain and Northern Ireland (the),London,51.50853,-0.12574
Herzzentrum Dresden Universitaetsklinik,HZDD,ROR,ROR:01jx86h05,https://ror.org/01jx86h05,,Heart Center Dresden; Herzzentrum Dresden,Germany,Dresden,51.05089,13.73832
Hospital Universitari Germans Trias i Pujol,,ROR,ROR:04wxdxa47,https://ror.org/04wxdxa47,,,Spain,Barcelona,41.38879,2.15899
Institut Curie,,ROR,ROR:04t0gwh46,https://ror.org/04t0gwh46,,Institut Curie,France,Paris,48.85341,2.3488
Institute of Oncology Ljubljana,,ROR,ROR:00y5zsg21,https://ror.org/00y5zsg21,,Onkološki Inštitut Ljubljana,Slovenia,Ljubljana,46.05108,14.50513
Instituto Português de Oncologia Francisco Gentil,IPO,ROR,ROR:00r7b5b77,https://ror.org/00r7b5b77,,IPO Francisco Gentil,Portugal,Lisbon,38.71667,-9.13333
Bambino Gesù Children's Hospital,OPBG,ROR,ROR:02sy42d13,https://ror.org/02sy42d13,,Baby Jesus Paediatric Hospital; Bambino Gesù Hospital; IRCCS Bambino Gesù Children's Hospital; IRCCS Ospedale Pediatrico Bambino Gesù,Italy,Rome,41.89193,12.51133
Masaryk Memorial Cancer Institute,MMCI,ROR,ROR:0270ceh40,https://ror.org/0270ceh40,,,Czechia,Brno,49.19522,16.60796
Innsbruck Medical University,MUI,ROR,ROR:03pt86f80,https://ror.org/03pt86f80,,,Austria,Innsbruck,47.26266,11.39454
Medical University of Vienna,,ROR,ROR:05n3x4p02,https://ror.org/05n3x4p02,,MedUni Vienna; MedUni Wien,Austria,Vienna,48.20849,16.37208
Medical Genetics Center,MGZ,ROR,ROR:027nwsc63,https://ror.org/027nwsc63,,,Germany,Munich,48.13743,11.57549
Medizinische Hochschule Hannover,MHH,ROR,ROR:00f2yqf98,https://ror.org/00f2yqf98,,Med. HS Hannover,Germany,Hanover,52.37052,9.73322
Odense University Hospital,OUH,ROR,ROR:00ey0ed83,https://ror.org/00ey0ed83,,Odense Universitets Hospital,Denmark,Odense,55.39594,10.38831
Pauls Stradiņš Clinical University Hospital,,ROR,ROR:00h1aq868,https://ror.org/00h1aq868,,,Latvia,Riga,56.946,24.10589
Pomeranian Medical University,PMU,ROR,ROR:01v1rak05,https://ror.org/01v1rak05,,Pomorski Uniwersytet Medyczny,Poland,Szczecin,53.42894,14.55302
IPO Porto,,ROR,ROR:027ras364,https://ror.org/027ras364,,Instituto Português de Oncologia do Porto,Portugal,Porto,41.14961,-8.61099
Université de Rouen Normandie,URN,ROR,ROR:03nhjew95,https://ror.org/03nhjew95,,University of Rouen Normandy; Université de Rouen,France,Rouen,49.44313,1.09932
Tartu University Hospital,,ROR,ROR:01dm91j21,https://ror.org/01dm91j21,,Tartu Hospital; Tartu University Clinic,Estonia,Tartu,58.38062,26.72509
Varsinais-Suomen Sairaanhoitopiiri,VSSHP,ROR,ROR:036bxpj43,https://ror.org/036bxpj43,,,Finland,Turku,60.45148,22.26869
Universitätsklinikum Erlangen,,ROR,ROR:0030f2a11,https://ror.org/0030f2a11,,,Germany,Erlangen,49.59099,11.00783
University Medical Center Hamburg-Eppendorf,UKE,ROR,ROR:01zgy1s35,https://ror.org/01zgy1s35,,,Germany,Hamburg,53.55073,9.99302
Universitair Ziekenhuis Brussel,UZB; UZB VUB,ROR,ROR:038f7y939,https://ror.org/038f7y939,,UZ Brussel; University Hospital Brussels,Belgium,Brussels,50.85045,4.34878
Hôpitaux Universitaires Henri-Mondor,,ROR,ROR:033yb0967,https://ror.org/033yb0967,,Centre Hospitalier Universitaire Henri-Mondor,France,Créteil,48.79266,2.46569
University of Liège,,ROR,ROR:00afp2z80,https://ror.org/00afp2z80,,ULiège,Belgium,Liège,50.63373,5.56749
Medisch Centrum Leeuwarden,MCL,ROR,ROR:0283nw634,https://ror.org/0283nw634,,,Netherlands (the),Leeuwarden,53.20139,5.80859
Leiden University,,ROR,ROR:027bh9e22,https://ror.org/027bh9e22,,Rijksuniversiteit Leiden,Netherlands (the),Leiden,52.15833,4.49306
Tampere University,,ROR,ROR:033003e23,https://ror.org/033003e23,,,Finland,Tampere,61.49911,23.78712
Universität Innsbruck,,ROR,ROR:054pv6659,https://ror.org/054pv6659,,Leopold-Franzens-Universität Innsbruck,Austria,Innsbruck,47.26266,11.39454
Siemens (Netherlands),,ROR,ROR:02mt4w922,https://ror.org/02mt4w922,,,Netherlands (the),Amsterdam,52.37403,4.88969
Antaros Medical (Sweden),,ROR,ROR:029v5hv47,https://ror.org/029v5hv47,,,Sweden,Mölndal,57.6554,12.01378
Bayer (Germany),,ROR,ROR:04hmn8g73,https://ror.org/04hmn8g73,,,Germany,Leverkusen,51.0303,6.98432
Roche (Switzerland),,ROR,ROR:00by1q217,https://ror.org/00by1q217,,Hoffmann-La Roche,Switzerland,Basel,47.55839,7.57327
Vall d'Hebron Institut de Recerca,VHIR; VHIR-CERCA,ROR,ROR:01d5vx451,https://ror.org/01d5vx451,,Vall d'Hebron Research Institute,Spain,Barcelona,41.38879,2.15899
Vall d'Hebron Institute of Oncology,VHIO; VHIO-CERCA,ROR,ROR:054xx3904,https://ror.org/054xx3904,,,Spain,Barcelona,41.38879,2.15899
ImaginAb (United States),,ROR,ROR:020pq6t22,https://ror.org/020pq6t22,,,United States of America (the),Inglewood,33.96168,-118.35313
