name,codesystem,code,ontologyTermURI
Diaphragma sellae,SNOMED CT,32967008,http://purl.bioontology.org/ontology/SNOMEDCT/32967008
All sternal bone marrow,SNOMED CT,32980006,http://purl.bioontology.org/ontology/SNOMEDCT/32980006
Intrabiventral fissure,SNOMED CT,32993001,http://purl.bioontology.org/ontology/SNOMEDCT/32993001
Structure of proximal shaft of femur,SNOMED CT,33003004,http://purl.bioontology.org/ontology/SNOMEDCT/33003004
Skin structure of fourth toe,SNOMED CT,33007003,http://purl.bioontology.org/ontology/SNOMEDCT/33007003
Structure of mucous membrane of oropharynx,SNOMED CT,33044003,http://purl.bioontology.org/ontology/SNOMEDCT/33044003
Skin structure of zygomatic region,SNOMED CT,33049008,http://purl.bioontology.org/ontology/SNOMEDCT/33049008
Structure of endocardium of left atrium,SNOMED CT,33052000,http://purl.bioontology.org/ontology/SNOMEDCT/33052000
Cerebellar white matter structure,SNOMED CT,33060004,http://purl.bioontology.org/ontology/SNOMEDCT/33060004
Structure of arch of fourth lumbar vertebra,SNOMED CT,33081004,http://purl.bioontology.org/ontology/SNOMEDCT/33081004
Structure of descending branch of occipital artery,SNOMED CT,33102007,http://purl.bioontology.org/ontology/SNOMEDCT/33102007
"Structure of articular surface, second metacarpal, of third metacarpal bone",SNOMED CT,33103002,http://purl.bioontology.org/ontology/SNOMEDCT/33103002
Structure of retropubic space,SNOMED CT,33126009,http://purl.bioontology.org/ontology/SNOMEDCT/33126009
Structure of substantia gelatinosa of posterior horn of spinal cord,SNOMED CT,33138000,http://purl.bioontology.org/ontology/SNOMEDCT/33138000
Structure of supraspinous ligament,SNOMED CT,33154002,http://purl.bioontology.org/ontology/SNOMEDCT/33154002
Structure of right superior parathyroid gland,SNOMED CT,33180001,http://purl.bioontology.org/ontology/SNOMEDCT/33180001
Structure of lateral occipitotemporal gyrus,SNOMED CT,33185006,http://purl.bioontology.org/ontology/SNOMEDCT/33185006
Cavum vergae,SNOMED CT,33191008,http://purl.bioontology.org/ontology/SNOMEDCT/33191008
Structure of fascia of lower extremity,SNOMED CT,33226003,http://purl.bioontology.org/ontology/SNOMEDCT/33226003
Structure of trigeminal nerve mesencephalic nucleus,SNOMED CT,33227007,http://purl.bioontology.org/ontology/SNOMEDCT/33227007
Structure of metaphysis,SNOMED CT,33251002,http://purl.bioontology.org/ontology/SNOMEDCT/33251002
Entire pretracheal lymph node,SNOMED CT,33266004,http://purl.bioontology.org/ontology/SNOMEDCT/33266004
Structure of myocardium of posterolateral region,SNOMED CT,33272004,http://purl.bioontology.org/ontology/SNOMEDCT/33272004
Structure of body of twelfth thoracic vertebra,SNOMED CT,33274003,http://purl.bioontology.org/ontology/SNOMEDCT/33274003
Entire retropyloric lymph node,SNOMED CT,33293001,http://purl.bioontology.org/ontology/SNOMEDCT/33293001
Skin structure of antihelix,SNOMED CT,33294007,http://purl.bioontology.org/ontology/SNOMEDCT/33294007
Cervical fascia structure,SNOMED CT,33299002,http://purl.bioontology.org/ontology/SNOMEDCT/33299002
Structure of spinous process of fifth lumbar vertebra,SNOMED CT,33301009,http://purl.bioontology.org/ontology/SNOMEDCT/33301009
Structure of tricuspid area,SNOMED CT,33321005,http://purl.bioontology.org/ontology/SNOMEDCT/33321005
Structure of greater superficial petrosal nerve,SNOMED CT,33333000,http://purl.bioontology.org/ontology/SNOMEDCT/33333000
Structure of anococcygeal nerve,SNOMED CT,33338009,http://purl.bioontology.org/ontology/SNOMEDCT/33338009
Structure of cortex of lens,SNOMED CT,33347001,http://purl.bioontology.org/ontology/SNOMEDCT/33347001
Structure of superior surface of soft palate,SNOMED CT,33360007,http://purl.bioontology.org/ontology/SNOMEDCT/33360007
Structure of lateral segment artery of liver,SNOMED CT,33392008,http://purl.bioontology.org/ontology/SNOMEDCT/33392008
Structure of anterior auricular ligament,SNOMED CT,33407009,http://purl.bioontology.org/ontology/SNOMEDCT/33407009
Supreme nasal turbinate structure,SNOMED CT,33415007,http://purl.bioontology.org/ontology/SNOMEDCT/33415007
Pilo-sebaceous apparatus,SNOMED CT,33416008,http://purl.bioontology.org/ontology/SNOMEDCT/33416008
Structure of retroorbital region,SNOMED CT,33428000,http://purl.bioontology.org/ontology/SNOMEDCT/33428000
Structure of thymic vein,SNOMED CT,33432006,http://purl.bioontology.org/ontology/SNOMEDCT/33432006
Structure of mesentery of colon,SNOMED CT,33437000,http://purl.bioontology.org/ontology/SNOMEDCT/33437000
Structure of superior articular facet of tibia with fibula,SNOMED CT,33462000,http://purl.bioontology.org/ontology/SNOMEDCT/33462000
Structure of anterior surface of kidney,SNOMED CT,33471009,http://purl.bioontology.org/ontology/SNOMEDCT/33471009
Structure of radial nerve superficial branch,SNOMED CT,33487007,http://purl.bioontology.org/ontology/SNOMEDCT/33487007
External anal sphincter structure,SNOMED CT,33512008,http://purl.bioontology.org/ontology/SNOMEDCT/33512008
Nasopharyngeal wall structure,SNOMED CT,33539000,http://purl.bioontology.org/ontology/SNOMEDCT/33539000
Structure of substernal region,SNOMED CT,33547000,http://purl.bioontology.org/ontology/SNOMEDCT/33547000
Structure of lower outer quadrant of breast,SNOMED CT,33564002,http://purl.bioontology.org/ontology/SNOMEDCT/33564002
Structure of superior central nucleus of pons,SNOMED CT,33573005,http://purl.bioontology.org/ontology/SNOMEDCT/33573005
Structure of accessory nerve uvular branch,SNOMED CT,33587005,http://purl.bioontology.org/ontology/SNOMEDCT/33587005
Structure of terminal bronchiole,SNOMED CT,33594008,http://purl.bioontology.org/ontology/SNOMEDCT/33594008
Structure of septal area of paraterminal body of rhinencephalon,SNOMED CT,33597001,http://purl.bioontology.org/ontology/SNOMEDCT/33597001
Structure of tuberosity of first metatarsal bone,SNOMED CT,33598006,http://purl.bioontology.org/ontology/SNOMEDCT/33598006
Structure of articular disc of acromioclavicular joint,SNOMED CT,33600000,http://purl.bioontology.org/ontology/SNOMEDCT/33600000
Entire facet for sixth costal cartilage of sternum,SNOMED CT,33625009,http://purl.bioontology.org/ontology/SNOMEDCT/33625009
Structure of left auricular appendage,SNOMED CT,33626005,http://purl.bioontology.org/ontology/SNOMEDCT/33626005
Structure of lateral costal branch of internal thoracic artery,SNOMED CT,33641005,http://purl.bioontology.org/ontology/SNOMEDCT/33641005
Structure of ischiocavernosus muscle,SNOMED CT,33646000,http://purl.bioontology.org/ontology/SNOMEDCT/33646000
Greater duodenal papilla structure,SNOMED CT,33657005,http://purl.bioontology.org/ontology/SNOMEDCT/33657005
Structure of waist (surface region),SNOMED CT,33673004,http://purl.bioontology.org/ontology/SNOMEDCT/33673004
Bone structure of ankle,SNOMED CT,33696004,http://purl.bioontology.org/ontology/SNOMEDCT/33696004
Structure of lateral portion of neck,SNOMED CT,33704003,http://purl.bioontology.org/ontology/SNOMEDCT/33704003
Skin structure of hand,SNOMED CT,33712006,http://purl.bioontology.org/ontology/SNOMEDCT/33712006
Structure of anterior tibiofibular ligament,SNOMED CT,33718005,http://purl.bioontology.org/ontology/SNOMEDCT/33718005
Structure of middle cerebellar peduncle,SNOMED CT,33723005,http://purl.bioontology.org/ontology/SNOMEDCT/33723005
Structure of pericardial artery,SNOMED CT,33728001,http://purl.bioontology.org/ontology/SNOMEDCT/33728001
Structure of periadrenal tissue,SNOMED CT,33730004,http://purl.bioontology.org/ontology/SNOMEDCT/33730004
Entire plantar tarsometatarsal ligament,SNOMED CT,33735009,http://purl.bioontology.org/ontology/SNOMEDCT/33735009
Structure of neck of malleus,SNOMED CT,33741002,http://purl.bioontology.org/ontology/SNOMEDCT/33741002
Structure of hiatus of sacrum,SNOMED CT,33749000,http://purl.bioontology.org/ontology/SNOMEDCT/33749000
Subcutaneous tissue structure of anterior surface of thigh,SNOMED CT,33750000,http://purl.bioontology.org/ontology/SNOMEDCT/33750000
Structure of body of ninth thoracic vertebra,SNOMED CT,33766003,http://purl.bioontology.org/ontology/SNOMEDCT/33766003
Structure of branch of sympathetic renal plexus,SNOMED CT,33767007,http://purl.bioontology.org/ontology/SNOMEDCT/33767007
Structure of lateral axillary lymph node,SNOMED CT,33770006,http://purl.bioontology.org/ontology/SNOMEDCT/33770006
Structure of lateral inguinal fossa,SNOMED CT,33775001,http://purl.bioontology.org/ontology/SNOMEDCT/33775001
Structure of middle phalanx of little toe,SNOMED CT,33790002,http://purl.bioontology.org/ontology/SNOMEDCT/33790002
Structure of inferior mesenteric artery,SNOMED CT,33795007,http://purl.bioontology.org/ontology/SNOMEDCT/33795007
Paraganglia structure,SNOMED CT,33805007,http://purl.bioontology.org/ontology/SNOMEDCT/33805007
Structure of transverse process of eighth thoracic vertebra,SNOMED CT,33813008,http://purl.bioontology.org/ontology/SNOMEDCT/33813008
Structure of rectovesicalis muscle,SNOMED CT,33814002,http://purl.bioontology.org/ontology/SNOMEDCT/33814002
Structure of apex of head of fibula,SNOMED CT,33816000,http://purl.bioontology.org/ontology/SNOMEDCT/33816000
Membranous lamina of Eustachian tube,SNOMED CT,33819007,http://purl.bioontology.org/ontology/SNOMEDCT/33819007
Periosteum,SNOMED CT,33840008,http://purl.bioontology.org/ontology/SNOMEDCT/33840008
Neck of seventeenth rib,SNOMED CT,33848001,http://purl.bioontology.org/ontology/SNOMEDCT/33848001
Structure of muscular type vein,SNOMED CT,33858002,http://purl.bioontology.org/ontology/SNOMEDCT/33858002
Structure of pectoral fascia,SNOMED CT,33864009,http://purl.bioontology.org/ontology/SNOMEDCT/33864009
Structure of distal phalanx of ring finger,SNOMED CT,33880004,http://purl.bioontology.org/ontology/SNOMEDCT/33880004
Joint structure of head,SNOMED CT,33883002,http://purl.bioontology.org/ontology/SNOMEDCT/33883002
Structure of inferior sagittal sinus,SNOMED CT,33886005,http://purl.bioontology.org/ontology/SNOMEDCT/33886005
Structure of basilar part of occipital bone,SNOMED CT,33898000,http://purl.bioontology.org/ontology/SNOMEDCT/33898000
Structure of articular process of second lumbar vertebra,SNOMED CT,33917005,http://purl.bioontology.org/ontology/SNOMEDCT/33917005
Structure of subarachnoid space of brain,SNOMED CT,33930006,http://purl.bioontology.org/ontology/SNOMEDCT/33930006
Glossopharyngeal nerve stylopharyngeal muscle branch,SNOMED CT,33942001,http://purl.bioontology.org/ontology/SNOMEDCT/33942001
Pharyngeal diverticulum,SNOMED CT,33954001,http://purl.bioontology.org/ontology/SNOMEDCT/33954001
Structure of hypothalamic sulcus of third ventricle,SNOMED CT,33960001,http://purl.bioontology.org/ontology/SNOMEDCT/33960001
Structure of stellate ganglion,SNOMED CT,33961002,http://purl.bioontology.org/ontology/SNOMEDCT/33961002
Structure of distal phalanx of index finger,SNOMED CT,33971000,http://purl.bioontology.org/ontology/SNOMEDCT/33971000
Structure of pineal corpora arenacea,SNOMED CT,33972007,http://purl.bioontology.org/ontology/SNOMEDCT/33972007
Dorsal pharyngeal wall structure,SNOMED CT,33986006,http://purl.bioontology.org/ontology/SNOMEDCT/33986006
Structure of molecular layer of cerebellar cortex,SNOMED CT,33991007,http://purl.bioontology.org/ontology/SNOMEDCT/33991007
Structure of phrenic nerve phrenicoabdominal branches,SNOMED CT,33992000,http://purl.bioontology.org/ontology/SNOMEDCT/33992000
Skin structure of plantar surface of second toe,SNOMED CT,34016008,http://purl.bioontology.org/ontology/SNOMEDCT/34016008
Structure of interosseous muscle of hand,SNOMED CT,34031004,http://purl.bioontology.org/ontology/SNOMEDCT/34031004
Structure of peritoneal mesothelium,SNOMED CT,34073007,http://purl.bioontology.org/ontology/SNOMEDCT/34073007
Malleus structure,SNOMED CT,34080009,http://purl.bioontology.org/ontology/SNOMEDCT/34080009
Straight sesamoidean ligament of hindlimb,SNOMED CT,34099000,http://purl.bioontology.org/ontology/SNOMEDCT/34099000
Structure of femoral plexus,SNOMED CT,34109009,http://purl.bioontology.org/ontology/SNOMEDCT/34109009
Structure of cricesophageal tendon,SNOMED CT,34132008,http://purl.bioontology.org/ontology/SNOMEDCT/34132008
Endolymphatic layer of vestibular membrane,SNOMED CT,34136006,http://purl.bioontology.org/ontology/SNOMEDCT/34136006
Structure of frenulum labii inferioris,SNOMED CT,34148009,http://purl.bioontology.org/ontology/SNOMEDCT/34148009
Structure of intrahepatic part of main portal vein,SNOMED CT,34154005,http://purl.bioontology.org/ontology/SNOMEDCT/34154005
Structure of upper right intermediate incisor tooth,SNOMED CT,34157003,http://purl.bioontology.org/ontology/SNOMEDCT/34157003
All small arteries,SNOMED CT,34159000,http://purl.bioontology.org/ontology/SNOMEDCT/34159000
Structure of subclavian lymphatic trunk,SNOMED CT,34166004,http://purl.bioontology.org/ontology/SNOMEDCT/34166004
Structure of membrane of stapes,SNOMED CT,34176001,http://purl.bioontology.org/ontology/SNOMEDCT/34176001
Structure of duct of anterior lingual gland,SNOMED CT,34181005,http://purl.bioontology.org/ontology/SNOMEDCT/34181005
Subcutaneous tissue structure of wrist,SNOMED CT,34190003,http://purl.bioontology.org/ontology/SNOMEDCT/34190003
Structure of soft tissues of head and neck,SNOMED CT,34201000,http://purl.bioontology.org/ontology/SNOMEDCT/34201000
Aortic valve structure,SNOMED CT,34202007,http://purl.bioontology.org/ontology/SNOMEDCT/34202007
Hassal's corpuscle,SNOMED CT,34223001,http://purl.bioontology.org/ontology/SNOMEDCT/34223001
Structure of superficial head of flexor pollicis brevis muscle,SNOMED CT,34260002,http://purl.bioontology.org/ontology/SNOMEDCT/34260002
Structure of subcutaneous vein of abdomen,SNOMED CT,34265007,http://purl.bioontology.org/ontology/SNOMEDCT/34265007
Entire articular part of tubercle of twelfth rib,SNOMED CT,34269001,http://purl.bioontology.org/ontology/SNOMEDCT/34269001
Structure of iliacus muscle,SNOMED CT,34281002,http://purl.bioontology.org/ontology/SNOMEDCT/34281002
Skin structure of flank,SNOMED CT,34284005,http://purl.bioontology.org/ontology/SNOMEDCT/34284005
Structure of vagus nerve auricular branch,SNOMED CT,34292001,http://purl.bioontology.org/ontology/SNOMEDCT/34292001
Bone structure of proximal ulna,SNOMED CT,34318004,http://purl.bioontology.org/ontology/SNOMEDCT/34318004
Structure of venous network,SNOMED CT,34340008,http://purl.bioontology.org/ontology/SNOMEDCT/34340008
Structure of shaft of first metatarsal bone,SNOMED CT,34352001,http://purl.bioontology.org/ontology/SNOMEDCT/34352001
Structure of medial umbilical fold,SNOMED CT,34373001,http://purl.bioontology.org/ontology/SNOMEDCT/34373001
Entire right ureteral orifice,SNOMED CT,34376009,http://purl.bioontology.org/ontology/SNOMEDCT/34376009
Structure of supracallosal gyrus,SNOMED CT,34380004,http://purl.bioontology.org/ontology/SNOMEDCT/34380004
Anal canal structure,SNOMED CT,34381000,http://purl.bioontology.org/ontology/SNOMEDCT/34381000
Android pelvis,SNOMED CT,34386005,http://purl.bioontology.org/ontology/SNOMEDCT/34386005
Structure of upper thoracic spinal cord,SNOMED CT,34387001,http://purl.bioontology.org/ontology/SNOMEDCT/34387001
Rectum structure,SNOMED CT,34402009,http://purl.bioontology.org/ontology/SNOMEDCT/34402009
Rod cells of inner nuclear layer,SNOMED CT,34407003,http://purl.bioontology.org/ontology/SNOMEDCT/34407003
Subcutaneous tissue structure of palmar surface of middle finger,SNOMED CT,34408008,http://purl.bioontology.org/ontology/SNOMEDCT/34408008
Structure of primary fissure of cerebellum,SNOMED CT,34415000,http://purl.bioontology.org/ontology/SNOMEDCT/34415000
Caudal articular process of sixth lumbar vertebra,SNOMED CT,34421001,http://purl.bioontology.org/ontology/SNOMEDCT/34421001
Fibrous tissue,SNOMED CT,34433006,http://purl.bioontology.org/ontology/SNOMEDCT/34433006
Structure of sustentaculum tali,SNOMED CT,34437007,http://purl.bioontology.org/ontology/SNOMEDCT/34437007
Thoracic spine joint structure,SNOMED CT,34449008,http://purl.bioontology.org/ontology/SNOMEDCT/34449008
Structure of nasociliary nerve,SNOMED CT,34467001,http://purl.bioontology.org/ontology/SNOMEDCT/34467001
Structure of temporal pole,SNOMED CT,34497009,http://purl.bioontology.org/ontology/SNOMEDCT/34497009
Structure of mucous membrane of nose,SNOMED CT,34508005,http://purl.bioontology.org/ontology/SNOMEDCT/34508005
Ileal structure,SNOMED CT,34516001,http://purl.bioontology.org/ontology/SNOMEDCT/34516001
Structure of tibiocalcaneal part of medial ligament of talocrural joint,SNOMED CT,34542001,http://purl.bioontology.org/ontology/SNOMEDCT/34542001
Structure of stratum opticum of corpora quadrigemina,SNOMED CT,34579003,http://purl.bioontology.org/ontology/SNOMEDCT/34579003
Diaphragmatic flexure of colon,SNOMED CT,34590008,http://purl.bioontology.org/ontology/SNOMEDCT/34590008
Structure of medial segment of right middle lobe of lung,SNOMED CT,34604003,http://purl.bioontology.org/ontology/SNOMEDCT/34604003
Structure of apical branch of superior right pulmonary vein,SNOMED CT,34611004,http://purl.bioontology.org/ontology/SNOMEDCT/34611004
Structure of convoluting portion of cortical lobule of kidney,SNOMED CT,34617000,http://purl.bioontology.org/ontology/SNOMEDCT/34617000
Structure of medial common iliac lymph node,SNOMED CT,34625003,http://purl.bioontology.org/ontology/SNOMEDCT/34625003
Structure of superior auricularis muscle,SNOMED CT,34634008,http://purl.bioontology.org/ontology/SNOMEDCT/34634008
Structure of lumbar artery,SNOMED CT,34635009,http://purl.bioontology.org/ontology/SNOMEDCT/34635009
Structure of buccal artery,SNOMED CT,34661008,http://purl.bioontology.org/ontology/SNOMEDCT/34661008
Structure of external surface of sclera,SNOMED CT,34683007,http://purl.bioontology.org/ontology/SNOMEDCT/34683007
Distal tibiofibular joint structure,SNOMED CT,34688003,http://purl.bioontology.org/ontology/SNOMEDCT/34688003
Structure of collateral ligaments of interphalangeal joints of foot,SNOMED CT,34691003,http://purl.bioontology.org/ontology/SNOMEDCT/34691003
Structure of capsule of metatarsophalangeal joint of fourth toe,SNOMED CT,34703003,http://purl.bioontology.org/ontology/SNOMEDCT/34703003
Biliary tract structure,SNOMED CT,34707002,http://purl.bioontology.org/ontology/SNOMEDCT/34707002
Structure of parietal lobe gyrus,SNOMED CT,34709004,http://purl.bioontology.org/ontology/SNOMEDCT/34709004
Structure of capsule of distal radioulnar joint,SNOMED CT,34747009,http://purl.bioontology.org/ontology/SNOMEDCT/34747009
Structure of trabecula septomarginalis,SNOMED CT,34753009,http://purl.bioontology.org/ontology/SNOMEDCT/34753009
Structure of cubital lymph node,SNOMED CT,34775006,http://purl.bioontology.org/ontology/SNOMEDCT/34775006
Transverse process of fourteenth thoracic vertebra,SNOMED CT,34787004,http://purl.bioontology.org/ontology/SNOMEDCT/34787004
Skin structure of submandibular area,SNOMED CT,34799006,http://purl.bioontology.org/ontology/SNOMEDCT/34799006
Structure of body of lateral ventricle,SNOMED CT,34803007,http://purl.bioontology.org/ontology/SNOMEDCT/34803007
Structure of cricothyroid articular capsule,SNOMED CT,34806004,http://purl.bioontology.org/ontology/SNOMEDCT/34806004
Structure of vestibule of mouth,SNOMED CT,34810001,http://purl.bioontology.org/ontology/SNOMEDCT/34810001
Structure of levator glandulae thyroideae muscle,SNOMED CT,34834006,http://purl.bioontology.org/ontology/SNOMEDCT/34834006
Structure of thyroid notch,SNOMED CT,34841000,http://purl.bioontology.org/ontology/SNOMEDCT/34841000
Structure of common right basal pulmonary vein,SNOMED CT,34855008,http://purl.bioontology.org/ontology/SNOMEDCT/34855008
Structure of plica longitudinalis of duodenum,SNOMED CT,34881007,http://purl.bioontology.org/ontology/SNOMEDCT/34881007
Medial surface of thirteenth rib,SNOMED CT,34890000,http://purl.bioontology.org/ontology/SNOMEDCT/34890000
Structure of lateral surface of upper arm,SNOMED CT,34894009,http://purl.bioontology.org/ontology/SNOMEDCT/34894009
Structure of esophageal gland,SNOMED CT,34899004,http://purl.bioontology.org/ontology/SNOMEDCT/34899004
Lung field,SNOMED CT,34922002,http://purl.bioontology.org/ontology/SNOMEDCT/34922002
Skin of submental area,SNOMED CT,34926004,http://purl.bioontology.org/ontology/SNOMEDCT/34926004
Intervertebral foramen of thirteenth thoracic vertebra,SNOMED CT,34927008,http://purl.bioontology.org/ontology/SNOMEDCT/34927008
Structure of lateral surface of index finger,SNOMED CT,34928003,http://purl.bioontology.org/ontology/SNOMEDCT/34928003
Structure of transverse fascicles of palmar aponeurosis,SNOMED CT,34932009,http://purl.bioontology.org/ontology/SNOMEDCT/34932009
Intervertebral disc structure of tenth thoracic vertebra,SNOMED CT,34959001,http://purl.bioontology.org/ontology/SNOMEDCT/34959001
Entire nuchal fascia,SNOMED CT,34973005,http://purl.bioontology.org/ontology/SNOMEDCT/34973005
Gastric muscularis structure,SNOMED CT,34986001,http://purl.bioontology.org/ontology/SNOMEDCT/34986001
Structure of superior epigastric artery,SNOMED CT,34988000,http://purl.bioontology.org/ontology/SNOMEDCT/34988000
Structure of right gastric artery,SNOMED CT,34990004,http://purl.bioontology.org/ontology/SNOMEDCT/34990004
Structure of posterior surface of kidney,SNOMED CT,35051009,http://purl.bioontology.org/ontology/SNOMEDCT/35051009
Structure of papillary muscle,SNOMED CT,35054001,http://purl.bioontology.org/ontology/SNOMEDCT/35054001
Structure of valve of Heister,SNOMED CT,35067003,http://purl.bioontology.org/ontology/SNOMEDCT/35067003
Auditory projection area structure,SNOMED CT,35112002,http://purl.bioontology.org/ontology/SNOMEDCT/35112002
Structure of pedicle of cervical vertebra,SNOMED CT,35116004,http://purl.bioontology.org/ontology/SNOMEDCT/35116004
Structure of anterior basal branch of inferior left pulmonary vein,SNOMED CT,35120000,http://purl.bioontology.org/ontology/SNOMEDCT/35120000
Structure of posterior surface of manubrium,SNOMED CT,35138002,http://purl.bioontology.org/ontology/SNOMEDCT/35138002
Tracheal bifurcation structure,SNOMED CT,35142004,http://purl.bioontology.org/ontology/SNOMEDCT/35142004
Structure of ala ossis ilii,SNOMED CT,35143009,http://purl.bioontology.org/ontology/SNOMEDCT/35143009
Structure of oculomotor nerve rectus superior branch,SNOMED CT,35155003,http://purl.bioontology.org/ontology/SNOMEDCT/35155003
Structure of hook of hamate bone,SNOMED CT,35169003,http://purl.bioontology.org/ontology/SNOMEDCT/35169003
Structure of articular process of eighth thoracic vertebra,SNOMED CT,35173000,http://purl.bioontology.org/ontology/SNOMEDCT/35173000
Structure of temporal radiation of corpus callosum,SNOMED CT,35182006,http://purl.bioontology.org/ontology/SNOMEDCT/35182006
Structure of subapical branch of right pulmonary artery,SNOMED CT,35199007,http://purl.bioontology.org/ontology/SNOMEDCT/35199007
Structure of frontal belly of occipitofrontalis muscle,SNOMED CT,35201009,http://purl.bioontology.org/ontology/SNOMEDCT/35201009
Structure of perilymphatic tissue,SNOMED CT,35210001,http://purl.bioontology.org/ontology/SNOMEDCT/35210001
Structure of deltoid muscle,SNOMED CT,35259002,http://purl.bioontology.org/ontology/SNOMEDCT/35259002
Structure of pelvic splanchnic nerve,SNOMED CT,35278002,http://purl.bioontology.org/ontology/SNOMEDCT/35278002
Mucous gland of common bile duct,SNOMED CT,35286002,http://purl.bioontology.org/ontology/SNOMEDCT/35286002
Structure of middle temporal gyrus,SNOMED CT,35305002,http://purl.bioontology.org/ontology/SNOMEDCT/35305002
Entire deep transverse metacarpal ligament,SNOMED CT,35306001,http://purl.bioontology.org/ontology/SNOMEDCT/35306001
Structure of hepatic plexus,SNOMED CT,35328001,http://purl.bioontology.org/ontology/SNOMEDCT/35328001
Tubercle of first rib structure,SNOMED CT,35333002,http://purl.bioontology.org/ontology/SNOMEDCT/35333002
Structure of transverse mesocolon,SNOMED CT,35346007,http://purl.bioontology.org/ontology/SNOMEDCT/35346007
Greater omentum structure,SNOMED CT,35366003,http://purl.bioontology.org/ontology/SNOMEDCT/35366003
Structure of pterygopalatine fossa,SNOMED CT,35375001,http://purl.bioontology.org/ontology/SNOMEDCT/35375001
Structure of hilum of spleen,SNOMED CT,35378004,http://purl.bioontology.org/ontology/SNOMEDCT/35378004
Incus structure,SNOMED CT,35395007,http://purl.bioontology.org/ontology/SNOMEDCT/35395007
Structure of olfactory gland,SNOMED CT,35419003,http://purl.bioontology.org/ontology/SNOMEDCT/35419003
Structure of parasympathetic fibers to bladder,SNOMED CT,35428002,http://purl.bioontology.org/ontology/SNOMEDCT/35428002
Body of seventeenth thoracic vertebra,SNOMED CT,35445007,http://purl.bioontology.org/ontology/SNOMEDCT/35445007
Structure of filum terminale externum,SNOMED CT,35465000,http://purl.bioontology.org/ontology/SNOMEDCT/35465000
Structure of anterior arch of atlas,SNOMED CT,35475002,http://purl.bioontology.org/ontology/SNOMEDCT/35475002
Structure of spinous process of eleventh thoracic vertebra,SNOMED CT,35483008,http://purl.bioontology.org/ontology/SNOMEDCT/35483008
Structure of sacral tuberosity,SNOMED CT,35485001,http://purl.bioontology.org/ontology/SNOMEDCT/35485001
Structure of posterior segment artery of liver,SNOMED CT,35523009,http://purl.bioontology.org/ontology/SNOMEDCT/35523009
Vena caval structure,SNOMED CT,35532006,http://purl.bioontology.org/ontology/SNOMEDCT/35532006
Structure of ventral posteromedial nucleus of thalamus,SNOMED CT,35536009,http://purl.bioontology.org/ontology/SNOMEDCT/35536009
Structure of substance of lens,SNOMED CT,35538005,http://purl.bioontology.org/ontology/SNOMEDCT/35538005
Upper back structure,SNOMED CT,35549004,http://purl.bioontology.org/ontology/SNOMEDCT/35549004
Right ethmoid sinus structure,SNOMED CT,35596007,http://purl.bioontology.org/ontology/SNOMEDCT/35596007
Gastrocnemius muscle structure,SNOMED CT,35616000,http://purl.bioontology.org/ontology/SNOMEDCT/35616000
Structure of sternocostal part of pectoralis major muscle,SNOMED CT,35618004,http://purl.bioontology.org/ontology/SNOMEDCT/35618004
Structure of greater sciatic foramen,SNOMED CT,35623004,http://purl.bioontology.org/ontology/SNOMEDCT/35623004
Structure of inferior fronto-occipital fasciculus,SNOMED CT,35664009,http://purl.bioontology.org/ontology/SNOMEDCT/35664009
Structure of foramen spinosum,SNOMED CT,35665005,http://purl.bioontology.org/ontology/SNOMEDCT/35665005
Structure of under border of rib,SNOMED CT,35707007,http://purl.bioontology.org/ontology/SNOMEDCT/35707007
Structure of capsule of metatarsophalangeal joint of great toe,SNOMED CT,35711001,http://purl.bioontology.org/ontology/SNOMEDCT/35711001
Arch of fourteenth thoracic vertebra,SNOMED CT,35715005,http://purl.bioontology.org/ontology/SNOMEDCT/35715005
Structure of deep popliteal lymph node,SNOMED CT,35721009,http://purl.bioontology.org/ontology/SNOMEDCT/35721009
Skin structure of lateral border of sole of foot,SNOMED CT,35739000,http://purl.bioontology.org/ontology/SNOMEDCT/35739000
Structure of longus capitis muscle,SNOMED CT,35752005,http://purl.bioontology.org/ontology/SNOMEDCT/35752005
Structure of spiral ganglion,SNOMED CT,35761005,http://purl.bioontology.org/ontology/SNOMEDCT/35761005
Structure of posterior fossa of cranial cavity,SNOMED CT,35763008,http://purl.bioontology.org/ontology/SNOMEDCT/35763008
Brain ventricle structure,SNOMED CT,35764002,http://purl.bioontology.org/ontology/SNOMEDCT/35764002
Bone structure of thoracic vertebra,SNOMED CT,35769007,http://purl.bioontology.org/ontology/SNOMEDCT/35769007
Structure of cuneiform cartilage,SNOMED CT,35779009,http://purl.bioontology.org/ontology/SNOMEDCT/35779009
Structure of aortic lymph node,SNOMED CT,35783009,http://purl.bioontology.org/ontology/SNOMEDCT/35783009
Structure of head of phalanx of ring finger,SNOMED CT,35801000,http://purl.bioontology.org/ontology/SNOMEDCT/35801000
Midcarpal joint structure,SNOMED CT,35804008,http://purl.bioontology.org/ontology/SNOMEDCT/35804008
Structure of postcricoid region,SNOMED CT,35806005,http://purl.bioontology.org/ontology/SNOMEDCT/35806005
Anterior interosseous nerve structure,SNOMED CT,35809003,http://purl.bioontology.org/ontology/SNOMEDCT/35809003
Structure of mucous membrane of Eustachian tube,SNOMED CT,35816002,http://purl.bioontology.org/ontology/SNOMEDCT/35816002
Structure of splenic vein,SNOMED CT,35819009,http://purl.bioontology.org/ontology/SNOMEDCT/35819009
