name,tags,codesystem,code,ontologyTermURI,definition
Tara ES Cell Line,,NCIT,C20280,http://purl.obolibrary.org/obo/NCIT_C20280,Tara ES Cell Line
NC01,,NCIT,C20281,http://purl.obolibrary.org/obo/NCIT_C20281,NC01
NC02,,NCIT,C20282,http://purl.obolibrary.org/obo/NCIT_C20282,NC02
NC03,,NCIT,C20283,http://purl.obolibrary.org/obo/NCIT_C20283,NC03
Pochon ES Cell Line,,NCIT,C20284,http://purl.obolibrary.org/obo/NCIT_C20284,Pochon ES Cell Line
CH01,,NCIT,C20285,http://purl.obolibrary.org/obo/NCIT_C20285,CH01
CH02,,NCIT,C20286,http://purl.obolibrary.org/obo/NCIT_C20286,CH02
Reliance ES Cell Line,,NCIT,C20287,http://purl.obolibrary.org/obo/NCIT_C20287,Reliance ES Cell Line
RL05,,NCIT,C20288,http://purl.obolibrary.org/obo/NCIT_C20288,RL05
RL07,,NCIT,C20289,http://purl.obolibrary.org/obo/NCIT_C20289,RL07
RL10,,NCIT,C20290,http://purl.obolibrary.org/obo/NCIT_C20290,RL10
RL13,,NCIT,C20291,http://purl.obolibrary.org/obo/NCIT_C20291,RL13
RL15,,NCIT,C20292,http://purl.obolibrary.org/obo/NCIT_C20292,RL15
RL20,,NCIT,C20293,http://purl.obolibrary.org/obo/NCIT_C20293,RL20
RL21,,NCIT,C20294,http://purl.obolibrary.org/obo/NCIT_C20294,RL21
Technion ES Cell Line,,NCIT,C20295,http://purl.obolibrary.org/obo/NCIT_C20295,Technion ES Cell Line
TE03,,NCIT,C20296,http://purl.obolibrary.org/obo/NCIT_C20296,TE03
TE32,,NCIT,C20297,http://purl.obolibrary.org/obo/NCIT_C20297,TE32
TE33,,NCIT,C20298,http://purl.obolibrary.org/obo/NCIT_C20298,TE33
TE04,,NCIT,C20299,http://purl.obolibrary.org/obo/NCIT_C20299,TE04
TE06,,NCIT,C20300,http://purl.obolibrary.org/obo/NCIT_C20300,TE06
TE62,,NCIT,C20301,http://purl.obolibrary.org/obo/NCIT_C20301,TE62
TE07,,NCIT,C20302,http://purl.obolibrary.org/obo/NCIT_C20302,TE07
TE72,,NCIT,C20303,http://purl.obolibrary.org/obo/NCIT_C20303,TE72
UCSF ES Cell Line,,NCIT,C20304,http://purl.obolibrary.org/obo/NCIT_C20304,UCSF ES Cell Line
UC01,,NCIT,C20305,http://purl.obolibrary.org/obo/NCIT_C20305,UC01
UC06,,NCIT,C20306,http://purl.obolibrary.org/obo/NCIT_C20306,UC06
Wisconsin ES Cell Line,,NCIT,C20307,http://purl.obolibrary.org/obo/NCIT_C20307,Wisconsin ES Cell Line
WA01,,NCIT,C20308,http://purl.obolibrary.org/obo/NCIT_C20308,WA01
WA07,,NCIT,C20309,http://purl.obolibrary.org/obo/NCIT_C20309,WA07
WA09,,NCIT,C20310,http://purl.obolibrary.org/obo/NCIT_C20310,WA09
WA13,,NCIT,C20311,http://purl.obolibrary.org/obo/NCIT_C20311,WA13
WA14,,NCIT,C20312,http://purl.obolibrary.org/obo/NCIT_C20312,WA14
Gallbladder Stone,,NCIT,C34443,http://purl.obolibrary.org/obo/NCIT_C34443,Gallbladder Stone
Common Bile Duct Stone,,NCIT,C34499,http://purl.obolibrary.org/obo/NCIT_C34499,Common Bile Duct Stone
Salivary Duct Stone,,NCIT,C34993,http://purl.obolibrary.org/obo/NCIT_C34993,Salivary Duct Stone
Salivary Gland Stone,,NCIT,C34994,http://purl.obolibrary.org/obo/NCIT_C34994,Salivary Gland Stone
Cystic Duct Stone,,NCIT,C35333,http://purl.obolibrary.org/obo/NCIT_C35333,Cystic Duct Stone
Pancreatic Duct Stone,,NCIT,C35404,http://purl.obolibrary.org/obo/NCIT_C35404,Pancreatic Duct Stone
Mixed Stone,,NCIT,C35585,http://purl.obolibrary.org/obo/NCIT_C35585,Mixed Stone
Submandibular Duct Stone,,NCIT,C35629,http://purl.obolibrary.org/obo/NCIT_C35629,Submandibular Duct Stone
Bile Duct Stone,,NCIT,C35773,http://purl.obolibrary.org/obo/NCIT_C35773,Bile Duct Stone
Corneal Transplant,,NCIT,C50514,http://purl.obolibrary.org/obo/NCIT_C50514,Corneal Transplant
Pus,,NCIT,C50718,http://purl.obolibrary.org/obo/NCIT_C50718,Pus
Tissue Or Organ Transplant,,NCIT,C50920,http://purl.obolibrary.org/obo/NCIT_C50920,Tissue Or Organ Transplant
Isolate,,NCIT,C53471,http://purl.obolibrary.org/obo/NCIT_C53471,Isolate
Frozen Section,,NCIT,C67462,http://purl.obolibrary.org/obo/NCIT_C67462,Frozen Section
Permanent Section,,NCIT,C67463,http://purl.obolibrary.org/obo/NCIT_C67463,Permanent Section
Arterial Blood,,NCIT,C78729,http://purl.obolibrary.org/obo/NCIT_C78729,Arterial Blood
Venous Blood,,NCIT,C78730,http://purl.obolibrary.org/obo/NCIT_C78730,Venous Blood
Atherosclerotic Plaque,,NCIT,C78739,http://purl.obolibrary.org/obo/NCIT_C78739,Atherosclerotic Plaque
Menstrual Blood,,NCIT,C78740,http://purl.obolibrary.org/obo/NCIT_C78740,Menstrual Blood
Lochia,,NCIT,C78742,http://purl.obolibrary.org/obo/NCIT_C78742,Lochia
Meconium,,NCIT,C78743,http://purl.obolibrary.org/obo/NCIT_C78743,Meconium
Transudate,,NCIT,C78744,http://purl.obolibrary.org/obo/NCIT_C78744,Transudate
Blood Smear,,NCIT,C79903,http://purl.obolibrary.org/obo/NCIT_C79903,Blood Smear
NCI-60 Cell Line,,NCIT,C139309,http://purl.obolibrary.org/obo/NCIT_C139309,NCI-60 Cell Line
Serum or Plasma Supernatant,,NCIT,C150893,http://purl.obolibrary.org/obo/NCIT_C150893,Serum or Plasma Supernatant
Cerebrospinal Fluid Supernatant,,NCIT,C150894,http://purl.obolibrary.org/obo/NCIT_C150894,Cerebrospinal Fluid Supernatant
Swabbed Material,,NCIT,C150895,http://purl.obolibrary.org/obo/NCIT_C150895,Swabbed Material
Gallbladder Sludge,,NCIT,C121868,http://purl.obolibrary.org/obo/NCIT_C121868,Gallbladder Sludge
Femur/Femorotibial Joint,,NCIT,C135523,http://purl.obolibrary.org/obo/NCIT_C135523,Femur/Femorotibial Joint
Gene Bank,,NCIT,C15237,http://purl.obolibrary.org/obo/NCIT_C15237,Gene Bank
Genomic Library,,NCIT,C15241,http://purl.obolibrary.org/obo/NCIT_C15241,Genomic Library
cDNA Library,,NCIT,C15727,http://purl.obolibrary.org/obo/NCIT_C15727,cDNA Library
EST Library,,NCIT,C16208,http://purl.obolibrary.org/obo/NCIT_C16208,EST Library
ORESTES Library,,NCIT,C16220,http://purl.obolibrary.org/obo/NCIT_C16220,ORESTES Library
DNA Library,,NCIT,C16223,http://purl.obolibrary.org/obo/NCIT_C16223,DNA Library
SAGE Library,,NCIT,C16224,http://purl.obolibrary.org/obo/NCIT_C16224,SAGE Library
Expression Library,,NCIT,C16232,http://purl.obolibrary.org/obo/NCIT_C16232,Expression Library
Pooled Sample,,NCIT,C45910,http://purl.obolibrary.org/obo/NCIT_C45910,Pooled Sample
Sex Pooled Sample,,NCIT,C45910,http://purl.obolibrary.org/obo/NCIT_C45910,Sex Pooled Sample
Lysate,,NCIT,C62004,http://purl.obolibrary.org/obo/NCIT_C62004,Lysate
Subclone,,NCIT,C62037,http://purl.obolibrary.org/obo/NCIT_C62037,Subclone
Unstained Specimen,,NCIT,C62755,http://purl.obolibrary.org/obo/NCIT_C62755,Unstained Specimen
Archived Newborn Blood Sample,,NCIT,C63504,http://purl.obolibrary.org/obo/NCIT_C63504,Archived Newborn Blood Sample
Cross-section,,NCIT,C63795,http://purl.obolibrary.org/obo/NCIT_C63795,Cross-section
Buffy Coat,,NCIT,C84507,http://purl.obolibrary.org/obo/NCIT_C84507,Buffy Coat
Whole Bone Marrow,,NCIT,C84513,http://purl.obolibrary.org/obo/NCIT_C84513,Whole Bone Marrow
Fixed Specimen,,NCIT,C84514,http://purl.obolibrary.org/obo/NCIT_C84514,Fixed Specimen
Dried Specimen,,NCIT,C84516,http://purl.obolibrary.org/obo/NCIT_C84516,Dried Specimen
Fresh Specimen,,NCIT,C84517,http://purl.obolibrary.org/obo/NCIT_C84517,Fresh Specimen
Core Specimen,,NCIT,C99275,http://purl.obolibrary.org/obo/NCIT_C99275,Core Specimen
Tissue Scroll,,NCIT,C99276,http://purl.obolibrary.org/obo/NCIT_C99276,Tissue Scroll
Lavage Fluid,,NCIT,C103411,http://purl.obolibrary.org/obo/NCIT_C103411,Lavage Fluid
Capillary Blood,,NCIT,C112235,http://purl.obolibrary.org/obo/NCIT_C112235,Capillary Blood
Levator Ani/Bulbospongiosus,,NCIT,C112430,http://purl.obolibrary.org/obo/NCIT_C112430,Levator Ani/Bulbospongiosus
Sediment,,NCIT,C113677,http://purl.obolibrary.org/obo/NCIT_C113677,Sediment
Cell Pellet,,NCIT,C113745,http://purl.obolibrary.org/obo/NCIT_C113745,Cell Pellet
Dried Blood Spot,,NCIT,C113746,http://purl.obolibrary.org/obo/NCIT_C113746,Dried Blood Spot
Tissue Sample,,NCIT,C19697,http://purl.obolibrary.org/obo/NCIT_C19697,Tissue Sample
Formalin-Fixed Paraffin-Embedded B-Cell (CD20) Slide,,NCIT,C125610,http://purl.obolibrary.org/obo/NCIT_C125610,Formalin-Fixed Paraffin-Embedded B-Cell (CD20) Slide
Formalin-Fixed Paraffin-Embedded T-Cell (CD3) Slide,,NCIT,C125611,http://purl.obolibrary.org/obo/NCIT_C125611,Formalin-Fixed Paraffin-Embedded T-Cell (CD3) Slide
Thoracic Fluid,,NCIT,C125897,http://purl.obolibrary.org/obo/NCIT_C125897,Thoracic Fluid
Exhaled Breath Condensate,,NCIT,C126053,http://purl.obolibrary.org/obo/NCIT_C126053,Exhaled Breath Condensate
Urine Pellet,,NCIT,C126103,http://purl.obolibrary.org/obo/NCIT_C126103,Urine Pellet
Packed Red Blood Cells,,NCIT,C126363,http://purl.obolibrary.org/obo/NCIT_C126363,Packed Red Blood Cells
Protoplast,,NCIT,C12659,http://purl.obolibrary.org/obo/NCIT_C12659,Protoplast
Spheroplast,,NCIT,C12661,http://purl.obolibrary.org/obo/NCIT_C12661,Spheroplast
Sorted Cells,,NCIT,C126974,http://purl.obolibrary.org/obo/NCIT_C126974,Sorted Cells
Expired Air,,NCIT,C78741,http://purl.obolibrary.org/obo/NCIT_C78741,Expired Air
Cell Line,,NCIT,C16403,http://purl.obolibrary.org/obo/NCIT_C16403,Cell Line
Hybridoma,,NCIT,C16700,http://purl.obolibrary.org/obo/NCIT_C16700,Hybridoma
Cell Fraction,,NCIT,C17169,http://purl.obolibrary.org/obo/NCIT_C17169,Cell Fraction
CHO Cells,,NCIT,C17421,http://purl.obolibrary.org/obo/NCIT_C17421,CHO Cells
NIH/3T3,,NCIT,C17422,http://purl.obolibrary.org/obo/NCIT_C17422,NIH/3T3
PC-12,,NCIT,C17435,http://purl.obolibrary.org/obo/NCIT_C17435,PC-12
Prokaryotic Cell Component,,NCIT,C17711,http://purl.obolibrary.org/obo/NCIT_C17711,Prokaryotic Cell Component
Fetal Tissue,,NCIT,C17730,http://purl.obolibrary.org/obo/NCIT_C17730,Fetal Tissue
HT29,,NCIT,C17896,http://purl.obolibrary.org/obo/NCIT_C17896,HT29
COS-1,,NCIT,C17968,http://purl.obolibrary.org/obo/NCIT_C17968,COS-1
Tumor Tissue,,NCIT,C18009,http://purl.obolibrary.org/obo/NCIT_C18009,Tumor Tissue
MCF7,,NCIT,C18096,http://purl.obolibrary.org/obo/NCIT_C18096,MCF7
Biopsy Specimen,,NCIT,C18202,http://purl.obolibrary.org/obo/NCIT_C18202,Biopsy Specimen
Monkey Cell Line,,NCIT,C20219,http://purl.obolibrary.org/obo/NCIT_C20219,Monkey Cell Line
Mouse Cell Line,,NCIT,C20220,http://purl.obolibrary.org/obo/NCIT_C20220,Mouse Cell Line
Hamster Cell Line,,NCIT,C20221,http://purl.obolibrary.org/obo/NCIT_C20221,Hamster Cell Line
Rat Cell Line,,NCIT,C20222,http://purl.obolibrary.org/obo/NCIT_C20222,Rat Cell Line
Clone,,NCIT,C37925,http://purl.obolibrary.org/obo/NCIT_C37925,Clone
Necropsy Sample,,NCIT,C166270,http://purl.obolibrary.org/obo/NCIT_C166270,Necropsy Sample
Urine Casts,,NCIT,C38095,http://purl.obolibrary.org/obo/NCIT_C38095,Urine Casts
Whole Blood,,NCIT,C41067,http://purl.obolibrary.org/obo/NCIT_C41067,Whole Blood
Fresh Frozen Plasma,,NCIT,C89783,http://purl.obolibrary.org/obo/NCIT_C89783,Fresh Frozen Plasma
Total Tissue,,NCIT,C90476,http://purl.obolibrary.org/obo/NCIT_C90476,Total Tissue
Trigeminal Ganglion/Trigeminal Nerve,,NCIT,C92214,http://purl.obolibrary.org/obo/NCIT_C92214,Trigeminal Ganglion/Trigeminal Nerve
Submandibular Gland/Sublingual Gland,,NCIT,C92215,http://purl.obolibrary.org/obo/NCIT_C92215,Submandibular Gland/Sublingual Gland
Seminal Vesicle/Coagulating Gland,,NCIT,C92216,http://purl.obolibrary.org/obo/NCIT_C92216,Seminal Vesicle/Coagulating Gland
Rectum/Anus,,NCIT,C92217,http://purl.obolibrary.org/obo/NCIT_C92217,Rectum/Anus
Lung/Bronchus,,NCIT,C92218,http://purl.obolibrary.org/obo/NCIT_C92218,Lung/Bronchus
Mesentery/Peritoneum,,NCIT,C92435,http://purl.obolibrary.org/obo/NCIT_C92435,Mesentery/Peritoneum
Uterus/Cervix,,NCIT,C92436,http://purl.obolibrary.org/obo/NCIT_C92436,Uterus/Cervix
Skin/Subcutaneous Tissue,,NCIT,C92441,http://purl.obolibrary.org/obo/NCIT_C92441,Skin/Subcutaneous Tissue
Matched Tissues,,NCIT,C92469,http://purl.obolibrary.org/obo/NCIT_C92469,Matched Tissues
Ovary/Oviduct,,NCIT,C92595,http://purl.obolibrary.org/obo/NCIT_C92595,Ovary/Oviduct
Cervical Mucus Plug,,NCIT,C92752,http://purl.obolibrary.org/obo/NCIT_C92752,Cervical Mucus Plug
Bone Marrow Sample,,NCIT,C164009,http://purl.obolibrary.org/obo/NCIT_C164009,Bone Marrow Sample
food isolate,,GENEPIO,2233,http://purl.obolibrary.org/obo/GENEPIO_0002233,food isolate
Cell Strain,,NCIT,C45382,http://purl.obolibrary.org/obo/NCIT_C45382,Cell Strain
Peritoneal Dialysis Fluid,,NCIT,C154852,http://purl.obolibrary.org/obo/NCIT_C154852,Peritoneal Dialysis Fluid
Bronchoalveolar Biopsy Specimen,,NCIT,C155830,http://purl.obolibrary.org/obo/NCIT_C155830,Bronchoalveolar Biopsy Specimen
Nasopharyngeal Swab Specimen,,NCIT,C155831,http://purl.obolibrary.org/obo/NCIT_C155831,Nasopharyngeal Swab Specimen
Nasopharyngeal Wash Specimen,,NCIT,C155832,http://purl.obolibrary.org/obo/NCIT_C155832,Nasopharyngeal Wash Specimen
Nasal Swab or Nose Specimen,,NCIT,C155833,http://purl.obolibrary.org/obo/NCIT_C155833,Nasal Swab or Nose Specimen
Nasal Wash Specimen,,NCIT,C155834,http://purl.obolibrary.org/obo/NCIT_C155834,Nasal Wash Specimen
Oropharyngeal Swab Specimen,,NCIT,C155835,http://purl.obolibrary.org/obo/NCIT_C155835,Oropharyngeal Swab Specimen
Blood,,MIABIS-2.0-17,BLOOD,https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type,Blood that has not been separated into its various components; blood that has not been modified except for the addition of an anticoagulant.
DNA,erdera,MIABIS-2.0-17,DNA,https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type,A long linear double-stranded polymer formed from nucleotides attached to a deoxyribose backbone and found in the nucleus of a cell; associated with the transmission of genetic information.
Faeces,,MIABIS-2.0-17,FAECES,https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type,"The material discharged from the bowel during defecation. It consists of undigested food, intestinal mucus, epithelial cells, and bacteria."
Immortalized Cell Lines,,MIABIS-2.0-17,IMMORTALIZED CELL LINES,https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type,"Cells of a single type (human, animal, or plant) that have been adapted to grow continuously in the laboratory and are used in research."
Isolated Pathogen,,MIABIS-2.0-17,ISOLATED PATHOGEN,https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type,"An isolated biological agent causing disease; a disease producer e.g. virus, bacterium, prion, other microorganism etc."
Other,,MIABIS-2.0-17,OTHER,https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type,"Any other type of material taken from a biological entity, e.g. amniotic fluid, cerebrospinal fluid (CSV), mitochondrial RNA."
Plasma,,MIABIS-2.0-17,PLASMA,https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type,"Plasma is the fluid (acellular) portion of the circulating blood, as distinguished from the serum that is the fluid portion of the blood obtained by removal of the fibrin clot and blood cells after coagulation."
RNA,erdera,MIABIS-2.0-17,RNA,https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type,"One of two types of nucleic acid made by cells. RNA contains information that has been copied from DNA (the other type of nucleic acid). Cells make several different forms of RNA, and each form has a specific job in the cell. Many forms of RNA have functions related to making proteins. RNA is also the genetic material of some viruses instead of DNA. RNA can be made in the laboratory and used in research studies. Also called ribonucleic acid."
Saliva,,MIABIS-2.0-17,SALIVA,https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type,A clear liquid secreted into the mouth by the salivary glands and mucous glands of the mouth; moistens the mouth and starts the digestion of starches.
Serum,,MIABIS-2.0-17,SERUM,https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type,The clear portion of the blood that remains after the removal of the blood cells and the clotting proteins.
Tissue (FFPE),,MIABIS-2.0-17,TISSUE (FFPE),https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type,"Tissue, formalin fixated and paraffin preserved or equivalent."
Tissue (Frozen),,MIABIS-2.0-17,TISSUE (FROZEN),https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type,"An anatomical structure consisting of similarly specialized cells and intercellular matrix, aggregated according to genetically determined spatial relationships, performing a specific function."
Urine,,MIABIS-2.0-17,URINE,https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type,The fluid that is excreted by the kidneys. It is stored in the bladder and discharged through the urethra.
Circulating Cell-Free DNA,,NCIT,C128274,http://purl.obolibrary.org/obo/NCIT_C128274,Circulating Cell-Free DNA
Peripheral Blood Mononuclear Cell,erdera,NCIT,NCIT:C12954,http://purl.obolibrary.org/obo/NCIT_C12954,A peripheral blood cell with a single nucleus. This category includes lymphocytes and monocytes.
Cell Preparation Tube with Heparin,,NCIT,NCIT:C200886,http://purl.obolibrary.org/obo/NCIT_C200886,"An evacuated blood collection tube that contains heparin, intended for the collection of whole blood and the separation of mononuclear cells."
Fibroblast,erdera,NCIT,NCIT:C12482,http://purl.obolibrary.org/obo/NCIT_C12482,
Cell-free plasma,,,,http://purl.obolibrary.org/obo/NCIT_C185204,Plasma used to obtain circulating cell-free DNA
Unknown,,HL7,HL7:UNK,http://terminology.hl7.org/CodeSystem/v3-NullFlavor,"A proper value is applicable, but not known."
Heparin Blood,erdera,,,,
EBV Cells,erdera,,,,
Cells (other),erdera,,,,
