id,location name,primary group value,country,latitude,longitude,website,tooltip content,sort order,displayed in chart
Q1783601,Drakesteijn,castle,Netherlands,52.17972,5.227220000000001,https://thecastlemap.com/castles/drakesteijn/,"<div class=""tooltip""><span class=""location-name"">Drakesteijn</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1640.0</span><span class=""century"">17th century</span><span class=""website"">https://thecastlemap.com/castles/drakesteijn/</span></div>",39,demo-map-dot-distribution
Q1826558,Slot Heemstede,ruin,Netherlands,52.33979000000001,4.63098,https://thecastlemap.com/castles/slot-heemstede/,"<div class=""tooltip""><span class=""location-name"">Slot Heemstede</span><span class=""primary-group-value"">ruin</span><span class=""country"">Netherlands</span><span class=""year"">1280.0</span><span class=""century"">13th century</span><span class=""website"">https://thecastlemap.com/castles/slot-heemstede/</span></div>",40,demo-map-dot-distribution
Q1832947,Lemiers Castle,castle,Netherlands,50.789460000000005,5.9951,https://thecastlemap.com/castles/lemiers-castle/,"<div class=""tooltip""><span class=""location-name"">Lemiers Castle</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""website"">https://thecastlemap.com/castles/lemiers-castle/</span></div>",41,demo-map-dot-distribution
Q1862696,Nijenborgh Castle,castle,Netherlands,51.25638000000001,5.708830000000001,https://thecastlemap.com/castles/nijenborgh-castle/,"<div class=""tooltip""><span class=""location-name"">Nijenborgh Castle</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1450.0</span><span class=""century"">15th century</span><span class=""website"">https://thecastlemap.com/castles/nijenborgh-castle/</span></div>",42,demo-map-dot-distribution
Q1868780,Cranendonck Castle,castle,Netherlands,51.304300000000005,5.589720000000001,https://thecastlemap.com/castles/cranendonck-castle/,"<div class=""tooltip""><span class=""location-name"">Cranendonck Castle</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1850.0</span><span class=""century"">19th century</span><span class=""website"">https://thecastlemap.com/castles/cranendonck-castle/</span></div>",43,demo-map-dot-distribution
Q1885455,Vredenburg,castle,Netherlands,52.0925,5.1138900000000005,https://thecastlemap.com/castles/vredenburg/,"<div class=""tooltip""><span class=""location-name"">Vredenburg</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1529.0</span><span class=""century"">16th century</span><span class=""website"">https://thecastlemap.com/castles/vredenburg/</span></div>",44,demo-map-dot-distribution
Q1888721,Ham Fort,fortress,Netherlands,52.501940000000005,4.73528,https://thecastlemap.com/castles/ham-fort/,"<div class=""tooltip""><span class=""location-name"">Ham Fort</span><span class=""primary-group-value"">fortress</span><span class=""country"">Netherlands</span><span class=""website"">https://thecastlemap.com/castles/ham-fort/</span></div>",45,demo-map-dot-distribution
Q1889721,Noordeinde Palace,palace,Netherlands,52.080920000000006,4.30614,https://thecastlemap.com/castles/noordeinde-palace/,"<div class=""tooltip""><span class=""location-name"">Noordeinde Palace</span><span class=""primary-group-value"">palace</span><span class=""country"">Netherlands</span><span class=""website"">https://thecastlemap.com/castles/noordeinde-palace/</span></div>",46,demo-map-dot-distribution
Q1895608,Heeze Castle,castle,Netherlands,51.38111000000001,5.5875,https://thecastlemap.com/castles/heeze-castle/,"<div class=""tooltip""><span class=""location-name"">Heeze Castle</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1665.0</span><span class=""century"">17th century</span><span class=""website"">https://thecastlemap.com/castles/heeze-castle/</span></div>",47,demo-map-dot-distribution
Q1913236,Het Oude Loo,castle,Netherlands,52.23528,5.942220000000001,https://thecastlemap.com/castles/het-oude-loo/,"<div class=""tooltip""><span class=""location-name"">Het Oude Loo</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1450.0</span><span class=""century"">15th century</span><span class=""website"">https://thecastlemap.com/castles/het-oude-loo/</span></div>",48,demo-map-dot-distribution
