"classid","label","synonyms"
"http://who.int/icf#b1679","b1679. Mental functions of language, unspecified","Mental functions of language, unspecified"
"http://who.int/icf#b43500","b43500. Specific immune response","Specific immune response"
"http://who.int/icf#d5408","d5408. Dressing, other specified","Dressing, other specified"
"http://who.int/icf#d5409","d5409. Dressing, unspecified","Dressing, unspecified"
"http://who.int/icf#b1670","b1670. Reception of language","Reception of language"
"http://who.int/icf#d4550","d4550. Crawling","Crawling"
"http://who.int/icf#d810-d839","d810-d839. Education","Education"
"http://who.int/icf#d5402","d5402. Putting on footwear","Putting on footwear"
"http://who.int/icf#b1678","b1678. Mental functions of language, other specified","Mental functions of language, other specified"
"http://who.int/icf#d5403","d5403. Taking off footwear","Taking off footwear"
"http://who.int/icf#d5404","d5404. Choosing appropriate clothing","Choosing appropriate clothing"
"http://who.int/icf#d4558","d4558. Moving around, other specified","Moving around, other specified"
"http://who.int/icf#d4551","d4551. Climbing","Climbing"
"http://who.int/icf#b43509","b43509. Immune response, unspecified","Immune response, unspecified"
"http://who.int/icf#d4552","d4552. Running","Running"
"http://who.int/icf#b1671","b1671. Expression of language","Expression of language"
"http://who.int/icf#b43508","b43508. Immune response, other specified","Immune response, other specified"
"http://who.int/icf#d4553","d4553. Jumping","Jumping"
"http://who.int/icf#d5400","d5400. Putting on clothes","Putting on clothes"
"http://who.int/icf#b1672","b1672. Integrative language functions","Integrative language functions"
"http://who.int/icf#d4554","d4554. Swimming","Swimming"
"http://who.int/icf#d5401","d5401. Taking off clothes","Taking off clothes"
"http://who.int/icf#b1448","b1448. Memory functions, other specified","Memory functions, other specified"
"http://who.int/icf#d4308","d4308. Lifting and carrying, other specified","Lifting and carrying, other specified"
"http://who.int/icf#b1449","b1449. Memory functions, unspecified","Memory functions, unspecified"
"http://who.int/icf#d4309","d4309. Lifting and carrying, unspecified","Lifting and carrying, unspecified"
"http://who.int/icf#d330-d349","d330-d349. Communicating - producing","Communicating - producing"
"http://who.int/icf#d4302","d4302. Carrying in the arms","Carrying in the arms"
"http://who.int/icf#d198","d198. Learning and applying knowledge, other specified","Learning and applying knowledge, other specified"
"http://who.int/icf#d4303","d4303. Carrying on shoulders, hip and back","Carrying on shoulders, hip and back"
"http://who.int/icf#d199","d199. Learning and applying knowledge, unspecified","Learning and applying knowledge, unspecified"
"http://who.int/icf#d310-d329","d310-d329. Communicating - receiving","Communicating - receiving"
"http://who.int/icf#d4304","d4304. Carrying on the head","Carrying on the head"
"http://who.int/icf#d410-d429","d410-d429. Changing and maintaining body position","Changing and maintaining body position"
"http://who.int/icf#d4305","d4305. Putting down objects","Putting down objects"
"http://who.int/icf#b1442","b1442. Retrieval of memory","Retrieval of memory"
"http://who.int/icf#b1440","b1440. Short-term memory","Short-term memory"
"http://who.int/icf#d4300","d4300. Lifting","Lifting"
"http://who.int/icf#b1441","b1441. Long-term memory","Long-term memory"
"http://who.int/icf#d4301","d4301. Carrying in the hands","Carrying in the hands"
"http://who.int/icf#b210-b229","b210-b229. Seeing and related functions","Seeing and related functions"
"http://who.int/icf#d470-d489","d470-d489. Moving around using transportation","Moving around using transportation"
"http://who.int/icf#b610-b639","b610-b639. Urinary functions","Urinary functions"
"http://who.int/icf#d2109","d2109. Undertaking single tasks, unspecified","Undertaking single tasks, unspecified"
"http://who.int/icf#d2108","d2108. Undertaking single tasks, other specified","Undertaking single tasks, other specified"
"http://who.int/icf#b450-b469","b450-b469. Additional functions and sensations of the cardiovascular and respiratory systems","Additional functions and sensations of the cardiovascular and respiratory systems"
"http://who.int/icf#d2101","d2101. Undertaking a complex task","Undertaking a complex task"
"http://who.int/icf#d2100","d2100. Undertaking a simple task","Undertaking a simple task"
"http://who.int/icf#d2103","d2103. Undertaking a single task in a group","Undertaking a single task in a group"
"http://who.int/icf#d2102","d2102. Undertaking a single task independently","Undertaking a single task independently"
"http://who.int/icf#d825","d825. Vocational training","Vocational training"
"http://who.int/icf#b4102","b4102. Contraction force of ventricular muscles","Contraction force of ventricular muscles"
"http://who.int/icf#b4103","b4103. Blood supply to the heart","Blood supply to the heart"
"http://who.int/icf#b640","b640. Sexual functions","Sexual functions"
"http://who.int/icf#b4108","b4108. Heart functions, other specified","Heart functions, other specified"
"http://who.int/icf#b4109","b4109. Heart functions, unspecified","Heart functions, unspecified"
"http://who.int/icf#b430-b439","b430-b439. Functions of the haematological and immunological systems","Functions of the haematological and immunological systems"
"http://who.int/icf#d820","d820. School education","School education"
"http://who.int/icf#b4100","b4100. Heart rate","Heart rate"
"http://who.int/icf#b4101","b4101. Heart rhythm","Heart rhythm"
"http://who.int/icf#d630-d649","d630-d649. Household  tasks","Household  tasks"
"http://who.int/icf#d839","d839. Education, other specified and unspecified","Education, other specified and unspecified"
"http://who.int/icf#b410","b410. Heart functions","Heart functions"
"http://who.int/icf#b4358","b4358. Immunological system functions, other specified","Immunological system functions, other specified"
"http://who.int/icf#b650","b650. Menstruation functions","Menstruation functions"
"http://who.int/icf#b415","b415. Blood vessel functions","Blood vessel functions"
"http://who.int/icf#b4359","b4359. Immunological system functions, unspecified","Immunological system functions, unspecified"
"http://who.int/icf#b899","b899. Functions of the skin and related structures, unspecified","Functions of the skin and related structures, unspecified"
"http://who.int/icf#b898","b898. Functions of the skin and related structures, other specified","Functions of the skin and related structures, other specified"
"http://who.int/icf#d830","d830. Higher education","Higher education"
"http://who.int/icf#b4350","b4350. Immune response","Immune response"
"http://who.int/icf#b4351","b4351. Hypersensitivity reactions","Hypersensitivity reactions"
"http://who.int/icf#b4352","b4352. Functions of lymphatic vessels","Functions of lymphatic vessels"
"http://who.int/icf#b4353","b4353. Functions of lymph nodes","Functions of lymph nodes"
"http://who.int/icf#b6509","b6509. Menstruation functions, unspecified","Menstruation functions, unspecified"
"http://who.int/icf#b429","b429. Functions of the cardiovascular system, other specified and unspecified","Functions of the cardiovascular system, other specified and unspecified"
"http://who.int/icf#b6508","b6508. Menstruation functions, other specified","Menstruation functions, other specified"
"http://who.int/icf#b6501","b6501. Interval between menstruation","Interval between menstruation"
"http://who.int/icf#b6500","b6500. Regularity of menstrual cycle","Regularity of menstrual cycle"
"http://who.int/icf#b420","b420. Blood pressure functions","Blood pressure functions"
"http://who.int/icf#d7201","d7201. Terminating relationships","Terminating relationships"
"http://who.int/icf#d845","d845. Acquiring, keeping and terminating a job","Acquiring, keeping and terminating a job"
"http://who.int/icf#b6502","b6502. Extent of menstrual bleeding","Extent of menstrual bleeding"
"http://who.int/icf#d7200","d7200. Forming relationships","Forming relationships"
"http://who.int/icf#d840","d840. Apprenticeship (work preparation)","Apprenticeship (work preparation)"
"http://who.int/icf#d7209","d7209. Complex interpersonal interactions, unspecified","Complex interpersonal interactions, unspecified"
"http://who.int/icf#d7208","d7208. Complex interpersonal interactions, other specified","Complex interpersonal interactions, other specified"
"http://who.int/icf#b660","b660. Procreation functions","Procreation functions"
"http://who.int/icf#d7203","d7203. Interacting according to social rules","Interacting according to social rules"
"http://who.int/icf#d7202","d7202. Regulating behaviours within interactions","Regulating behaviours within interactions"
"http://who.int/icf#d7204","d7204. Maintaining social space","Maintaining social space"
"http://who.int/icf#b510-b539","b510-b539. Functions related to the digestive system","Functions related to the digestive system"
"http://who.int/icf#b7609","b7609. Control of voluntary movement functions, unspecified","Control of voluntary movement functions, unspecified"
"http://who.int/icf#b7608","b7608. Control of voluntary movement functions, other specified","Control of voluntary movement functions, other specified"
"http://who.int/icf#b439","b439. Functions of the haematological and immunological systems, other specified and unspecified","Functions of the haematological and immunological systems, other specified and unspecified"
"http://who.int/icf#d859","d859. Work and employment, other specified and unspecified","Work and employment, other specified and unspecified"
"http://who.int/icf#b7601","b7601. Control of complex voluntary movements","Control of complex voluntary movements"
"http://who.int/icf#b2153","b2153. Functions of lachrymal glands","Functions of lachrymal glands"
"http://who.int/icf#b7600","b7600. Control of simple voluntary movements","Control of simple voluntary movements"
"http://who.int/icf#d855","d855. Non-remunerative employment","Non-remunerative employment"
"http://who.int/icf#b2152","b2152. Functions of external muscles of the eye","Functions of external muscles of the eye"
"http://who.int/icf#b7603","b7603. Supportive functions of arm or leg","Supportive functions of arm or leg"
"http://who.int/icf#d6101","d6101. Renting a place to live","Renting a place to live"
"http://who.int/icf#b2151","b2151. Functions of the eyelid","Functions of the eyelid"
"http://who.int/icf#b430","b430. Haematological system functions","Haematological system functions"
"http://who.int/icf#b7602","b7602. Coordination of voluntary movements","Coordination of voluntary movements"
"http://who.int/icf#d6100","d6100. Buying a place to live","Buying a place to live"
"http://who.int/icf#b2150","b2150. Functions of internal muscles of the eye","Functions of internal muscles of the eye"
"http://who.int/icf#b679","b679. Genital and reproductive functions, other specified and unspecified","Genital and reproductive functions, other specified and unspecified"
"http://who.int/icf#d850","d850. Remunerative employment","Remunerative employment"
"http://who.int/icf#b435","b435. Immunological system functions","Immunological system functions"
"http://who.int/icf#d610","d610. Acquiring a place to live","Acquiring a place to live"
"http://who.int/icf#d6109","d6109. Acquiring a place to live, unspecified","Acquiring a place to live, unspecified"
"http://who.int/icf#b2159","b2159. Functions of structures adjoining the eye, unspecified","Functions of structures adjoining the eye, unspecified"
"http://who.int/icf#d6108","d6108. Acquiring a place to live, other specified","Acquiring a place to live, other specified"
"http://who.int/icf#b2158","b2158. Functions of structures adjoining the eye, other specified","Functions of structures adjoining the eye, other specified"
"http://who.int/icf#b670","b670. Sensations associated with genital and reproductive functions","Sensations associated with genital and reproductive functions"
"http://who.int/icf#d6102","d6102. Furnishing a place to live","Furnishing a place to live"
"http://who.int/icf#b4308","b4308. Haematological system functions, other specified","Haematological system functions, other specified"
"http://who.int/icf#b4309","b4309. Haematological system functions, unspecified","Haematological system functions, unspecified"
"http://who.int/icf#b849","b849. Functions of the skin, other specified and unspecified","Functions of the skin, other specified and unspecified"
"http://who.int/icf#b4300","b4300. Production of blood","Production of blood"
"http://who.int/icf#b840","b840. Sensation related to the skin","Sensation related to the skin"
"http://who.int/icf#d4151","d4151. Maintaining a squatting position","Maintaining a squatting position"
"http://who.int/icf#b4301","b4301. Oxygen-carrying functions of the blood","Oxygen-carrying functions of the blood"
"http://who.int/icf#d4152","d4152. Maintaining a kneeling position","Maintaining a kneeling position"
"http://who.int/icf#b4302","b4302. Metabolite-carrying functions of the blood","Metabolite-carrying functions of the blood"
"http://who.int/icf#d4153","d4153. Maintaining a sitting position","Maintaining a sitting position"
"http://who.int/icf#b4303","b4303. Clotting functions","Clotting functions"
"http://who.int/icf#d4154","d4154. Maintaining a standing position","Maintaining a standing position"
"http://who.int/icf#d4150","d4150. Maintaining a lying position","Maintaining a lying position"
"http://who.int/icf#d4159","d4159. Maintaining a body position, unspecified","Maintaining a body position, unspecified"
"http://who.int/icf#d4158","d4158. Maintaining a body position, other specified","Maintaining a body position, other specified"
"http://who.int/icf#d350-d369","d350-d369. Conversation  and use of communication devices and techniques","Conversation  and use of communication devices and techniques"
"http://who.int/icf#d8508","d8508. Remunerative employment, other specified","Remunerative employment, other specified"
"http://who.int/icf#d8509","d8509. Remunerative employment, unspecified","Remunerative employment, unspecified"
"http://who.int/icf#b5408","b5408. General metabolic functions, other specified","General metabolic functions, other specified"
"http://who.int/icf#d430-d449","d430-d449. Carrying, moving and handling objects","Carrying, moving and handling objects"
"http://who.int/icf#b5409","b5409. General metabolic functions, unspecified","General metabolic functions, unspecified"
"http://who.int/icf#b5400","b5400. Basal metabolic rate","Basal metabolic rate"
"http://who.int/icf#b5401","b5401. Carbohydrate metabolism","Carbohydrate metabolism"
"http://who.int/icf#b850","b850. Functions of hair","Functions of hair"
"http://who.int/icf#b5402","b5402. Protein metabolism","Protein metabolism"
"http://who.int/icf#b5403","b5403. Fat metabolism","Fat metabolism"
"http://who.int/icf#b4558","b4558. Exercise tolerance functions, other specified","Exercise tolerance functions, other specified"
"http://who.int/icf#b4559","b4559. Exercise tolerance functions, unspecified","Exercise tolerance functions, unspecified"
"http://who.int/icf#b610","b610. Urinary excretory functions","Urinary excretory functions"
"http://who.int/icf#d8502","d8502. Full-time employment","Full-time employment"
"http://who.int/icf#b4550","b4550. General physical endurance","General physical endurance"
"http://who.int/icf#b4551","b4551. Aerobic capacity","Aerobic capacity"
"http://who.int/icf#d8500","d8500. Self-employment","Self-employment"
"http://who.int/icf#b4552","b4552. Fatiguability","Fatiguability"
"http://who.int/icf#d8501","d8501. Part-time employment","Part-time employment"
"http://who.int/icf#b410-b429","b410-b429. Functions of the cardiovascular system","Functions of the cardiovascular system"
"http://who.int/icf#d7409","d7409. Formal relationships, other unspecified","Formal relationships, other unspecified"
"http://who.int/icf#d7408","d7408. Formal relationships, other specified","Formal relationships, other specified"
"http://who.int/icf#b2109","b2109. Seeing functions, unspecified","Seeing functions, unspecified"
"http://who.int/icf#b2108","b2108. Seeing functions, other specified","Seeing functions, other specified"
"http://who.int/icf#b869","b869. Functions of the hair and nails, other specified and unspecified","Functions of the hair and nails, other specified and unspecified"
"http://who.int/icf#b6709","b6709. Sensations associated with genital and reproductive functions, unspecified","Sensations associated with genital and reproductive functions, unspecified"
"http://who.int/icf#b6708","b6708. Sensations associated with genital and reproductive functions, other specified","Sensations associated with genital and reproductive functions, other specified"
"http://who.int/icf#b250-b279","b250-b279. Additional sensory functions","Additional sensory functions"
"http://who.int/icf#b620","b620. Urination functions","Urination functions"
"http://who.int/icf#b6701","b6701. Discomfort associated with the menstrual cycle","Discomfort associated with the menstrual cycle"
"http://who.int/icf#b860","b860. Functions of nails","Functions of nails"
"http://who.int/icf#b6700","b6700. Discomfort associated with sexual intercourse","Discomfort associated with sexual intercourse"
"http://who.int/icf#b6702","b6702. Discomfort associated with menopause","Discomfort associated with menopause"
"http://who.int/icf#d7401","d7401. Relating with subordinates","Relating with subordinates"
"http://who.int/icf#b2102","b2102. Quality of vision","Quality of vision"
"http://who.int/icf#d7400","d7400. Relating with persons in authority","Relating with persons in authority"
"http://who.int/icf#b2101","b2101. Visual field functions","Visual field functions"
"http://who.int/icf#b2100","b2100. Visual acuity functions","Visual acuity functions"
"http://who.int/icf#d7402","d7402. Relating with equals","Relating with equals"
"http://who.int/icf#d6309","d6309. Preparing meals, unspecified","Preparing meals, unspecified"
"http://who.int/icf#d6308","d6308. Preparing meals, other specified","Preparing meals, other specified"
"http://who.int/icf#b639","b639. Urinary functions, other specified and unspecified","Urinary functions, other specified and unspecified"
"http://who.int/icf#b7809","b7809. Sensations related to muscles and movement functions, unspecified","Sensations related to muscles and movement functions, unspecified"
"http://who.int/icf#b7808","b7808. Sensations related to muscles and movement functions, other specified","Sensations related to muscles and movement functions, other specified"
"http://who.int/icf#d815","d815. Preschool education","Preschool education"
"http://who.int/icf#b1262","b1262. Conscientiousness","Conscientiousness"
"http://who.int/icf#b2352","b2352. Vestibular function of determination of movement","Vestibular function of determination of movement"
"http://who.int/icf#d810","d810. Informal education","Informal education"
"http://who.int/icf#b1263","b1263. Psychic stability","Psychic stability"
"http://who.int/icf#b2351","b2351. Vestibular function of balance","Vestibular function of balance"
"http://who.int/icf#b630","b630. Sensations associated with urinary functions","Sensations associated with urinary functions"
"http://who.int/icf#b1260","b1260. Extraversion","Extraversion"
"http://who.int/icf#b2350","b2350. Vestibular function of position","Vestibular function of position"
"http://who.int/icf#b7801","b7801. Sensation of muscle spasm","Sensation of muscle spasm"
"http://who.int/icf#b1261","b1261. Agreeableness","Agreeableness"
"http://who.int/icf#b7800","b7800. Sensation of muscle stiffness","Sensation of muscle stiffness"
"http://who.int/icf#b2359","b2359. Vestibular functions, unspecified","Vestibular functions, unspecified"
"http://who.int/icf#b1268","b1268. Temperament and personality functions, other specified","Temperament and personality functions, other specified"
"http://who.int/icf#b2358","b2358. Vestibular functions, other specified","Vestibular functions, other specified"
"http://who.int/icf#b1269","b1269. Temperament and personality functions, unspecified","Temperament and personality functions, unspecified"
"http://who.int/icf#b1266","b1266. Confidence","Confidence"
"http://who.int/icf#d6301","d6301. Preparing complex meals","Preparing complex meals"
"http://who.int/icf#b1267","b1267. Trustworthiness","Trustworthiness"
"http://who.int/icf#d6300","d6300. Preparing simple meals","Preparing simple meals"
"http://who.int/icf#b1264","b1264. Openness to experience","Openness to experience"
"http://who.int/icf#b1265","b1265. Optimism","Optimism"
"http://who.int/icf#b122","b122. Global psychosocial functions","Global psychosocial functions"
"http://who.int/icf#b126","b126. Temperament and personality functions","Temperament and personality functions"
"http://who.int/icf#d540","d540. Dressing","Dressing"
"http://who.int/icf#b21002","b21002. Binocular acuity of near vision","Binocular acuity of near vision"
"http://who.int/icf#b21003","b21003. Monocular acuity of near vision","Monocular acuity of near vision"
"http://who.int/icf#b21000","b21000. Binocular acuity of distant vision","Binocular acuity of distant vision"
"http://who.int/icf#d1759","d1759. Solving problems, unspecified","Solving problems, unspecified"
"http://who.int/icf#b21001","b21001. Monocular acuity of distant vision","Monocular acuity of distant vision"
"http://who.int/icf#d1758","d1758. Solving problems, other specified","Solving problems, other specified"
"http://who.int/icf#e1101","e1101. Drugs","Drugs"
"http://who.int/icf#e1100","e1100. Food","Food"
"http://who.int/icf#d315","d315. Communicating with - receiving - nonverbal messages","Communicating with - receiving - nonverbal messages"
"http://who.int/icf#d799","d799. Interpersonal interactions and relationships, unspecified","Interpersonal interactions and relationships, unspecified"
"http://who.int/icf#b134","b134. Sleep functions","Sleep functions"
"http://who.int/icf#e1109","e1109. Products or substances for personal consumption, unspecified","Products or substances for personal consumption, unspecified"
"http://who.int/icf#b139","b139. Global mental functions, other specified and unspecified","Global mental functions, other specified and unspecified"
"http://who.int/icf#d610-d629","d610-d629. Acquisition of necessities","Acquisition of necessities"
"http://who.int/icf#e1108","e1108. Products or substances for personal consumption, other specified","Products or substances for personal consumption, other specified"
"http://who.int/icf#d798","d798. Interpersonal interactions and relationships, other specified","Interpersonal interactions and relationships, other specified"
"http://who.int/icf#d550","d550. Eating","Eating"
"http://who.int/icf#d310","d310. Communicating with - receiving - spoken messages","Communicating with - receiving - spoken messages"
"http://who.int/icf#b130","b130. Energy and drive functions","Energy and drive functions"
"http://who.int/icf#b21008","b21008. Visual acuity functions, other specified","Visual acuity functions, other specified"
"http://who.int/icf#d1751","d1751. Solving complex problems","Solving complex problems"
"http://who.int/icf#b21009","b21009. Visual acuity functions, unspecified","Visual acuity functions, unspecified"
"http://who.int/icf#d1750","d1750. Solving simple problems","Solving simple problems"
"http://who.int/icf#e1350","e1350. General products and technology for employment","General products and technology for employment"
"http://who.int/icf#e1351","e1351. Assistive products and technology for employment","Assistive products and technology for employment"
"http://who.int/icf#b147","b147. Psychomotor functions","Psychomotor functions"
"http://who.int/icf#e1358","e1358. Products and technology for employment, other specified","Products and technology for employment, other specified"
"http://who.int/icf#b5258","b5258. Defecation functions, other specified","Defecation functions, other specified"
"http://who.int/icf#b5259","b5259. Defecation functions, unspecified","Defecation functions, unspecified"
"http://who.int/icf#b144","b144. Memory functions","Memory functions"
"http://who.int/icf#d329","d329. Communicating - receiving, other specified and unspecified","Communicating - receiving, other specified and unspecified"
"http://who.int/icf#e1359","e1359. Products and technology for employment, unspecified","Products and technology for employment, unspecified"
"http://who.int/icf#b6109","b6109. Urinary excretory functions, unspecified","Urinary excretory functions, unspecified"
"http://who.int/icf#b6108","b6108. Urinary excretory functions, other specified","Urinary excretory functions, other specified"
"http://who.int/icf#d325","d325. Communicating with - receiving - written messages","Communicating with - receiving - written messages"
"http://who.int/icf#d560","d560. Drinking","Drinking"
"http://who.int/icf#b5250","b5250. Elimination of faeces","Elimination of faeces"
"http://who.int/icf#b5251","b5251. Faecal consistency","Faecal consistency"
"http://who.int/icf#d320","d320. Communicating with - receiving - formal sign language messages","Communicating with - receiving - formal sign language messages"
"http://who.int/icf#b5252","b5252. Frequency of defecation","Frequency of defecation"
"http://who.int/icf#b5253","b5253. Faecal continence","Faecal continence"
"http://who.int/icf#b6101","b6101. Collection of urine","Collection of urine"
"http://who.int/icf#d450-d469","d450-d469. Walking and moving","Walking and moving"
"http://who.int/icf#b5254","b5254. Flatulence","Flatulence"
"http://who.int/icf#b6100","b6100. Filtration of urine","Filtration of urine"
"http://who.int/icf#b140","b140. Attention functions","Attention functions"
"http://who.int/icf#b21028","b21028. Quality of vision, other specified","Quality of vision, other specified"
"http://who.int/icf#b21029","b21029. Quality of vision, unspecified","Quality of vision, unspecified"
"http://who.int/icf#b21022","b21022. Contrast sensitivity","Contrast sensitivity"
"http://who.int/icf#b21023","b21023. Visual picture quality","Visual picture quality"
"http://who.int/icf#b21020","b21020. Light sensitivity","Light sensitivity"
"http://who.int/icf#b21021","b21021. Colour vision","Colour vision"
"http://who.int/icf#b399","b399. Voice and speech functions, unspecified","Voice and speech functions, unspecified"
"http://who.int/icf#b156","b156. Perceptual functions","Perceptual functions"
"http://who.int/icf#b398","b398. Voice and speech functions, other specified","Voice and speech functions, other specified"
"http://who.int/icf#b7209","b7209. Mobility of bone functions, specified","Mobility of bone functions, specified"
"http://who.int/icf#b7208","b7208. Mobility of bone functions, other specified","Mobility of bone functions, other specified"
"http://who.int/icf#d335","d335. Producing nonverbal messages","Producing nonverbal messages"
"http://who.int/icf#d330","d330. Speaking","Speaking"
"http://who.int/icf#b7201","b7201. Mobility of pelvis","Mobility of pelvis"
"http://who.int/icf#b7200","b7200. Mobility of scapula","Mobility of scapula"
"http://who.int/icf#b152","b152. Emotional functions","Emotional functions"
"http://who.int/icf#b7203","b7203. Mobility of tarsal bones","Mobility of tarsal bones"
"http://who.int/icf#b7202","b7202. Mobility of carpal bones","Mobility of carpal bones"
"http://who.int/icf#d570","d570. Looking after one's health","Looking after one's health"
"http://who.int/icf#d9202","d9202. Arts and culture","Arts and culture"
"http://who.int/icf#d9203","d9203. Crafts","Crafts"
"http://who.int/icf#b7658","b7658. Involuntary movement functions, other specified","Involuntary movement functions, other specified"
"http://who.int/icf#d9200","d9200. Play","Play"
"http://who.int/icf#b320","b320. Articulation functions","Articulation functions"
"http://who.int/icf#d9201","d9201. Sports","Sports"
"http://who.int/icf#d740","d740. Formal relationships","Formal relationships"
"http://who.int/icf#b7659","b7659. Involuntary movement functions, unspecified","Involuntary movement functions, unspecified"
"http://who.int/icf#b7650","b7650. Involuntary contractions of muscles","Involuntary contractions of muscles"
"http://who.int/icf#d9208","d9208. Recreation and leisure, other specified","Recreation and leisure, other specified"
"http://who.int/icf#d9209","d9209. Recreation and leisure, unspecified","Recreation and leisure, unspecified"
"http://who.int/icf#b7652","b7652. Tics and mannerisms","Tics and mannerisms"
"http://who.int/icf#b7651","b7651. Tremor","Tremor"
"http://who.int/icf#d9204","d9204. Hobbies","Hobbies"
"http://who.int/icf#b7653","b7653. Stereotypies and motor perseveration","Stereotypies and motor perseveration"
"http://who.int/icf#d9205","d9205. Socializing","Socializing"
"http://who.int/icf#b4158","b4158. Blood vessel functions, other specified","Blood vessel functions, other specified"
"http://who.int/icf#d998","d998. Community, social and civic life, other specified","Community, social and civic life, other specified"
"http://who.int/icf#b4159","b4159. Blood vessel functions, unspecified","Blood vessel functions, unspecified"
"http://who.int/icf#d999","d999. Community, social and civic life, unspecified","Community, social and civic life, unspecified"
"http://who.int/icf#d510","d510. Washing oneself","Washing oneself"
"http://who.int/icf#d710-d729","d710-d729. General interpersonal interactions","General interpersonal interactions"
"http://who.int/icf#b4150","b4150. Functions of arteries","Functions of arteries"
"http://who.int/icf#b4151","b4151. Functions of capillaries","Functions of capillaries"
"http://who.int/icf#b4152","b4152. Functions of veins","Functions of veins"
"http://who.int/icf#d750","d750. Informal social relationships","Informal social relationships"
"http://who.int/icf#b330","b330. Fluency and rhythm of speech functions","Fluency and rhythm of speech functions"
"http://who.int/icf#e1150","e1150. General products and technology for personal use in daily living","General products and technology for personal use in daily living"
"http://who.int/icf#b16701","b16701. Reception of written language","Reception of written language"
"http://who.int/icf#b16702","b16702. Reception of sign language","Reception of sign language"
"http://who.int/icf#e1151","e1151. Assistive products and technology for personal use in daily living","Assistive products and technology for personal use in daily living"
"http://who.int/icf#b16700","b16700. Reception of spoken language","Reception of spoken language"
"http://who.int/icf#e1158","e1158. Products and technology for personal use in daily living, other specified","Products and technology for personal use in daily living, other specified"
"http://who.int/icf#b16709","b16709. Reception of language, unspecified","Reception of language, unspecified"
"http://who.int/icf#e1159","e1159. Products and technology for personal use in daily living, unspecified","Products and technology for personal use in daily living, unspecified"
"http://who.int/icf#b16708","b16708. Reception of language, other specified","Reception of language, other specified"
"http://who.int/icf#b5458","b5458. Water, mineral and electrolyte balance functions, other specified","Water, mineral and electrolyte balance functions, other specified"
"http://who.int/icf#b5459","b5459. Water, mineral and electrolyte balance functions, unspecified","Water, mineral and electrolyte balance functions, unspecified"
"http://who.int/icf#d520","d520. Caring for body parts","Caring for body parts"
"http://who.int/icf#d760","d760. Family relationships","Family relationships"
"http://who.int/icf#b5450","b5450. Water balance","Water balance"
"http://who.int/icf#b5451","b5451. Mineral balance","Mineral balance"
"http://who.int/icf#b340","b340. Alternative vocalization functions","Alternative vocalization functions"
"http://who.int/icf#b5452","b5452. Electrolyte balance","Electrolyte balance"
"http://who.int/icf#b16712","b16712. Expression of sign language","Expression of sign language"
"http://who.int/icf#b16710","b16710. Expression of spoken language","Expression of spoken language"
"http://who.int/icf#b16711","b16711. Expression of written language","Expression of written language"
"http://who.int/icf#b114","b114. Orientation functions","Orientation functions"
"http://who.int/icf#b598","b598. Functions of the digestive, metabolic and endocrine systems, other specified","Functions of the digestive, metabolic and endocrine systems, other specified"
"http://who.int/icf#b7402","b7402. Endurance of all muscles of the body","Endurance of all muscles of the body"
"http://who.int/icf#b16718","b16718. Expression of language, other specified","Expression of language, other specified"
"http://who.int/icf#d779","d779. Particular interpersonal relationships, other specified and unspecified","Particular interpersonal relationships, other specified and unspecified"
"http://who.int/icf#b16719","b16719. Expression of language, unspecified","Expression of language, unspecified"
"http://who.int/icf#b117","b117. Intellectual functions","Intellectual functions"
"http://who.int/icf#b7409","b7409. Muscle endurance functions, unspecified","Muscle endurance functions, unspecified"
"http://who.int/icf#b599","b599. Functions of the digestive, metabolic and endocrine systems, unspecified","Functions of the digestive, metabolic and endocrine systems, unspecified"
"http://who.int/icf#b7408","b7408. Muscle endurance functions, other specified","Muscle endurance functions, other specified"
"http://who.int/icf#d770","d770. Intimate relationships","Intimate relationships"
"http://who.int/icf#d530","d530. Toileting","Toileting"
"http://who.int/icf#b110","b110. Consciousness functions","Consciousness functions"
"http://who.int/icf#b7401","b7401. Endurance of muscle groups","Endurance of muscle groups"
"http://who.int/icf#b7400","b7400. Endurance of isolated muscles","Endurance of isolated muscles"
"http://who.int/icf#d145","d145. Learning to write","Learning to write"
"http://who.int/icf#d140","d140. Learning to read","Learning to read"
"http://who.int/icf#d2208","d2208. Undertaking multiple tasks, other specified","Undertaking multiple tasks, other specified"
"http://who.int/icf#d","d. ACTIVITIES AND PARTICIPATION","ACTIVITIES AND PARTICIPATION"
"http://who.int/icf#b1529","b1529. Emotional functions, unspecified","Emotional functions, unspecified"
"http://who.int/icf#b","b. BODY FUNCTIONS","BODY FUNCTIONS"
"http://who.int/icf#b1528","b1528. Emotional functions, other specified","Emotional functions, other specified"
"http://who.int/icf#e","e. ENVIRONMENTAL FACTORS","ENVIRONMENTAL FACTORS"
"http://who.int/icf#d2209","d2209. Undertaking multiple tasks, unspecified","Undertaking multiple tasks, unspecified"
"http://who.int/icf#e1501","e1501. Design, construction and building products and technology for gaining access to facilities inside buildings for public use","Design, construction and building products and technology for gaining access to facilities inside buildings for public use"
"http://who.int/icf#e1500","e1500. Design, construction and building products and technology for entering and exiting buildings for public use","Design, construction and building products and technology for entering and exiting buildings for public use"
"http://who.int/icf#e1502","e1502. Design, construction and building products and technology for way finding, path routing and designation of locations in buildings for public use","Design, construction and building products and technology for way finding, path routing and designation of locations in buildings for public use"
